"StateCode","Name","ParentName","TableName","Type","AttachmentType","Comment","HidePremium","Condition","Number","MinOccurs","MaxOccurs","Variable","Scheduled","Sequence","Status"
"CW","Earthquake Inception Extension","Location Detail","CommercialPropertyEarthquakeInceptionExtension","Form","Optional","Location","True","","CP 10 41 02 19",0,1,"False","False",10200,"A"
"CW","Electrical Apparatus","Location Detail","CommercialPropertyElectricalApparatus","Form","Optional","Location Level","True","","CP 04 10 06 07",0,1,"False","False",10300,"A"
"CW","Higher Limits","Location Detail","CommercialPropertyHigherLimitsLocation","Form","Conditional","Higher Limits Location","True","","CP 04 08 10 12",0,0,"True","True",10400,"A"
"CW","Building","Location Detail","CommercialPropertyStructure","Summary","","","False","","",0,99,"False","False",11000,"A"
"CW","Building Detail","Building","CommercialPropertyStructure","Detail","","","False","","",0,1,"False","False",11010,"A"
"CW","Additional Building Property","Building Detail","CommercialPropertyAdditionalBuildingProperty","Form","Optional","","True","","CP 14 15 07 88",0,1,"True","True",11300,"A"
"CW","Additional Building Property Summary","Additional Building Property","CommercialPropertyAdditionalBuildingPropertyDetail","Summary","","","False","","",1,99,"False","False",11301,"A"
"CW","Additional Building Property Detail","Additional Building Property Summary","CommercialPropertyAdditionalBuildingPropertyDetail","Detail","","","False","","",0,1,"False","False",11302,"A"
"CW","Additional Covered Property","Building Detail","CommercialPropertyAdditionalCoveredProperty","Coverage","Optional","Building (Structure) Level","False","","CP 14 10 06 95",0,1,"True","True",11500,"A"
"CW","Additional Covered Property Summary","Additional Covered Property","CommercialPropertyAdditionalCoveredPropertyDetail","Summary","","Building (Structure) Level","False","","",1,99,"False","False",11501,"A"
"CW","Additional Covered Property Detail","Additional Covered Property Summary","CommercialPropertyAdditionalCoveredPropertyDetail","Detail","","Building (Structure) Level","False","","",0,1,"False","False",11502,"A"
"CW","Additional Property Not Covered","Building Detail","CommercialPropertyAdditionalPropertyNotCovered","Form","Optional","Building (Structure) Level","True","","CP 14 20 07 88",0,1,"True","True",11700,"A"
"CW","Broken Or Cracked Glass Exclusion Form","Building Detail","CommercialPropertyBrokenOrCrackedGlassExclusion","Form","Optional","","True","","CP 10 52 06 07",0,1,"True","True",11900,"A"
"CW","Broken Or Cracked Glass Exclusion Form Summary","Broken Or Cracked Glass Exclusion Form","CommercialPropertyBrokenOrCrackedGlassExclusionDetail","Summary","","","False","","",0,99,"False","False",11901,"A"
"CW","Broken Or Cracked Glass Exclusion Form Detail","Broken Or Cracked Glass Exclusion Form Summary","CommercialPropertyBrokenOrCrackedGlassExclusionDetail","Detail","","","False","","",0,1,"False","False",11902,"A"
"CW","Builders Risk Changes - Standard Property Policy","Building Detail","CommercialPropertyBuildersRiskChangesStandardProperty","Form","Conditional","If CommercialProperty.PolicyType = Standard Property Policy and CommercialPropertyStructure.CovType = Builders Risk, then attach Form. Rule 69.B.4.","True","","CP 11 99 10 12",0,0,"False","False",12100,"A"
"CW","Builders Risk - Collapse During Construction","Building Detail","CommercialPropertyBuildersRiskCollapseDuringConstruction","Coverage","Optional","","False","","CP 11 20 06 07",0,1,"False","False",12300,"A"
"CW","Higher Limits","Building Detail","CommercialPropertyHigherLimitsStructure","Form","Conditional","Higher Limits - Structure","True","","CP 04 08 10 12",0,0,"True","True",12345,"A"
"CW","Builders Risk Coverage Form","Building Detail","CommercialPropertyBuildersRiskCoverageForm","Form","Conditional","Building (Structure) Level only. Rule 40.","True","","CP 00 20 10 12",0,0,"False","False",12500,"A"
"CW","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)","Building Detail","CommercialPropertyLimitedCoverageForUnmannedAircraftScheduledAndOrBlanketCoverage","Coverage","Optional","Building (Structure) Level","False","CauseOfLossToUse = ""Special""","CP 04 14 12 16",0,1,"True","True",12600,"A"
"CW","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage) Summary","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)","CommercialPropertyLimitedCoverageForUnmannedAircraftScheduledAndOrBlanketCoverageDetail","Summary","","Building (Structure) Level","False","","",1,99,"False","False",12601,"A"
"CW","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage) Detail","Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage) Summary","CommercialPropertyLimitedCoverageForUnmannedAircraftScheduledAndOrBlanketCoverageDetail","Detail","","Building (Structure) Level","False","","",0,1,"False","False",12602,"A"
"CW","Builders Risk Renovations","Building Detail","CommercialPropertyBuildersRiskRenovations","Coverage","Optional","Building (Structure) Level Only Rule 41.A.","False","","CP 11 13 06 95",0,1,"True","True",12900,"A"
"CW","Builders Risk Renovations Summary","Builders Risk Renovations","CommercialPropertyBuildersRiskRenovationsDetail","Summary","","","False","","",0,99,"False","False",12901,"A"
"CW","Builders Risk Renovations Detail","Builders Risk Renovations Summary","CommercialPropertyBuildersRiskRenovationsDetail","Detail","","","False","","",0,1,"False","False",12902,"A"
"CW","Builders' Risk Premium Adjustment Form","Building Detail","CommercialPropertyBuildersRiskPremiumAdjustmentForm","Coverage","Conditional","","False","","CP 11 06 06 07",0,0,"True","True",13000,"A"
"CW","Builders' Risk Premium Adjustment Form Summary","Builders' Risk Premium Adjustment Form","CommercialPropertyBuildersRiskPremiumAdjustmentFormDetail","Summary","","","False","","",1,1,"False","False",13001,"A"
"CW","Builders' Risk Premium Adjustment Form Detail","Builders' Risk Premium Adjustment Form Summary","CommercialPropertyBuildersRiskPremiumAdjustmentFormDetail","Detail","","","False","","",0,1,"False","False",13002,"A"
"CW","Builders Risk Reporting Form","Building Detail","CommercialPropertyBuildersRiskReportingForm","Coverage","Optional","Building (Structure) Level only Rule 41.B.","False","","CP 11 05 04 02",0,1,"True","True",13100,"A"
"CW","Limitation On Loss Settlement - Blanket Insurance (Margin Clause)","Building Detail","CommercialPropertyStructureLimitationOnLossSettlementBlanketInsuranceMarginClause","Form","Conditional","","True","","CP 12 32 06 07",0,0,"True","True",13237,"A"
"CW","Builders Risk - Separate Or Sub-Contractors Coverage","Building Detail","CommercialPropertyBuildersRiskSeparateOrSubContractorsCoverage","Form","Optional","Building (Structure) Level Only Rule 41.C.2.","True","","CP 11 15 07 88",0,1,"True","True",13300,"A"
"CW","Builders Risk - Separate Or Sub-Contractors Coverage Summary","Builders Risk - Separate Or Sub-Contractors Coverage","CommercialPropertyBuildersRiskSeparateOrSubContractorsCoverageDetail","Summary","","","False","","",0,99,"False","False",13301,"A"
"CW","Builders Risk - Separate Or Sub-Contractors Coverage Detail","Builders Risk - Separate Or Sub-Contractors Coverage Summary","CommercialPropertyBuildersRiskSeparateOrSubContractorsCoverageDetail","Detail","","","False","","",0,1,"False","False",13302,"A"
"CW","Equipment Breakdown Cause Of Loss","Building Detail","CommercialPropertyEquipmentBreakdownCauseOfLossBldg","Coverage","Optional","","False","CauseOfLossToUse = ""Special""","CP 10 46 10 12",0,1,"True","True",13333,"A"
"CW","Suspension Or Reinstatement Of Coverage For Loss Caused By Breakdown Of Certain Equipment","Building Detail","CommercialPropertySuspensionOrReinstatementOfCovForLossCausedByBreakdownOfCertainEquipment","Form","Optional","","True","count(CommercialPropertyEquipmentBreakdownCauseOfLossBldg[string(Expiration)=''])> 0","CP 10 47 10 12",0,1,"True","True",13334,"A"
"CW","Builders Risk - Separate Or Sub-Contractor's Exclusion","Building Detail","CommercialPropertyBuildersRiskSeparateOrSubContractorsExclusion","Form","Optional","Building (Structure) Level Only Rule 41.C.1.","True","","CP 11 14 07 88",0,1,"True","True",13500,"A"
"CW","Builders Risk - Separate Or Sub-Contractor's Exclusion Summary","Builders Risk - Separate Or Sub-Contractor's Exclusion","CommercialPropertyBuildersRiskSeparateOrSubContractorsExclusionDetail","Summary","","","False","","",0,99,"False","False",13501,"A"
"CW","Builders Risk - Separate Or Sub-Contractor's Exclusion Detail","Builders Risk - Separate Or Sub-Contractor's Exclusion Summary","CommercialPropertyBuildersRiskSeparateOrSubContractorsExclusionDetail","Detail","","","False","","",0,1,"False","False",13502,"A"
"CW","Builders Risk - Theft Of Building Materials, Fixtures, Machinery, Equipment","Building Detail","CommercialPropertyBuildersRiskTheftOfBuildingMaterialsFixturesMachineryEquipment","Coverage","Optional","","False","","CP 11 21 10 12",0,1,"True","True",13700,"A"
"CW","Building And Personal Property Coverage Form","Building Detail","CommercialPropertyBuildingAndPersonalPropertyCoverageForm","Form","Conditional","Building (Structure) Level","True","","CP 00 10 10 12",0,0,"False","False",13900,"A"
"CW","Burglary And Robbery Protective Safeguards","Building Detail","CommercialPropertyBurglaryAndRobberyProtectiveSafeguards","Form","Optional","Building (Structure) Level","True","","CP 12 11 09 17",0,1,"True","True",14100,"A"
"CW","Cannabis Exclusion","Building Detail","CommercialPropertyCannabisExclusionBuilding","Coverage","Optional","Building","False","","CP 99 03 12 19",0,1,"False","False",14200,"A"
"CW","Cannabis Exclusion With Hemp Exception","Building Detail","CommercialPropertyCannabisExclusionWithHempExceptionBuilding","Coverage","Optional","Building","False","","CP 99 04 12 19",0,1,"False","False",14210,"A"
"CW","Causes Of Loss - Basic Form","Building Detail","CommercialPropertyCauseOfLossBasicFormBldg","Form","Conditional","Building (Structure) Level","True","","CP 10 10 10 12",0,0,"False","False",14300,"A"
"CW","Causes Of Loss - Broad Form","Building Detail","CommercialPropertyCauseOfLossBroadFormBldg","Form","Conditional","Building (Structure) Level","True","","CP 10 20 10 12",0,0,"False","False",14500,"A"
"CW","Causes Of Loss - Special Form","Building Detail","CommercialPropertyCauseOfLossSpecialFormBldg","Form","Conditional","Building (Structure) Level","True","","CP 10 30 09 17",0,0,"False","False",14900,"A"
"CW","Condominium Association Changes - Standard Property Policy","Building Detail","CommercialPropertyCondominiumAssociationChangesStandardPropertyPolicy","Form","Conditional","Building (Structure) Level","True","","CP 17 99 10 12",0,0,"False","False",15300,"A"
"CW","Condominium Association Coverage Form","Building Detail","CommercialPropertyCondominiumAssociationCoverageForm","Form","Conditional","Building (Structure) Level Only","True","","CP 00 17 10 12",0,0,"False","False",15700,"A"
"CW","Contributing Insurance","Building Detail","CommercialPropertyContributingInsurance","Form","Optional","Building (Structure) Level","True","","CP 99 20 06 07",0,1,"True","True",15900,"A"
"CW","Contributing Insurance Summary","Contributing Insurance","CommercialPropertyContributingInsuranceDetail","Summary","","Building (Structure) Level","False","","",1,99,"False","False",15901,"A"
"CW","Contributing Insurance Detail","Contributing Insurance Summary","CommercialPropertyContributingInsuranceDetail","Detail","","Building (Structure) Level","False","","",0,1,"False","False",15902,"A"
"CW","Increased Cost Of Loss And Related Expenses For Green Upgrades","Building Detail","CommercialPropertyIncreasedCostOfLossAndRelatedExpensesForGreenUpgradesEndtBldg","Coverage","Optional","Building Level","False","ValuationType[.= 'Replacement Cost'] and (../../../../PolicyType[.= 'Commercial Property Policy'] and CovType[.= 'Building' or .= 'Improvements and Betterments' or .= 'Condominium Association'])","CP 04 02 10 12",0,1,"True","True",16005,"A"
"CW","Increase In Rebuilding Expenses Following Disaster (Additional Expense Coverage On Annual Aggregate Basis)","Building Detail","CommercialPropertyIncreaseInRebuildingExpensesFollowingDisaster","Coverage","Optional","","False","(../../../../PolicyType = 'Commercial Property Policy' and CovType[.= 'Building' or .= 'Improvements and Betterments' or .= 'Condominium Association'] ) and ( (ValuationType = 'Replacement Cost' and CoinsuranceToUse[.= '90%' or .='100%'] ) or (AgreedValueOption = 'Yes' or BlktAgreedVal ='Yes'))","CP 04 09 10 12",0,1,"True","True",16010,"A"
"CW","Debris Removal Additional Insurance","Building Detail","CommercialPropertyDebrisRemovalAdditionalInsurance","Coverage","Optional","Building (Structure) Level","False","","CP 04 15 10 12",0,1,"True","True",16100,"A"
"CW","Discharge From Sewer, Drain Or Sump (Not Flood-Related)","Building Detail","CommercialPropertyDischargeFromSewerDrainOrSumpNotFloodReltd","Coverage","Optional","Building level","False","","CP 10 38 10 12",0,1,"True","True",16200,"A"
"CW","Deductibles By Location","Building Detail","CommercialPropertyDeductiblesByLocationBldg","Form","Optional","Building Level","True","","CP 03 29 04 18",0,1,"True","True",16300,"A"
"CW","Earthquake And Volcanic Eruption Coverage With Percentage Deductible","Building Detail","CommercialPropertyEarthquakeAndVolcanicEruptionEndorsement","Coverage","Conditional","Building (Structure) Level","False","","CP 10 40 02 19",0,0,"True","True",16400,"A"
"CW","Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible","Building Detail","CommercialPropertyEarthquakeAndVolcanicEruptionCoverageWithFlatDollarDeductibleBldg","Coverage","Conditional","Building (Structure) Level","False","","CP 10 28 02 19",0,0,"True","True",16401,"A"
"CW","Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Percentage Deductible)","Building Detail","CommercialPropertyEarthquakeAndVolcanicEruptionEndorsementSubLimitForm","Coverage","Conditional","Building (Struture) Level","False","","CP 10 45 02 19",0,0,"False","False",16500,"A"
"CW","Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)","Building Detail","CommercialPropertyEarthquakeAndVolcanicEruptionCoverageSubLimitFormWithFlatDollarDeductibleBldg","Coverage","Conditional","Building (Structure) Level","False","","CP 10 29 02 19",0,0,"False","False",16501,"A"
"CW","Exclusion Of Loss Due To By-Products Of Production Or Processing Operations (Rental Properties)","Building Detail","CommercialPropertyExclusionOfLossDueToByProductsOfProductionORProcessingOperationsFormBuilding","Form","Conditional","Building Level","True","","CP 10 34 10 12",0,0,"True","True",16600,"A"
"CW","Flood Coverage Endorsement","Building Detail","CommercialPropertyFloodCoverageEndorsement","Coverage","Optional","Building (Structure) Level","False","","CP 10 65 10 12",0,1,"False","False",16900,"A"
"CW","Functional Building Valuation","Building Detail","CommercialPropertyFunctionalBuildingValuation","Coverage","Conditional","Building (Structure) Level Only","False","","CP 04 38 09 17",0,0,"True","True",17100,"A"
"CW","Grain Properties - Explosion Limitation","Building Detail","CommercialPropertyGrainPropertiesExplosionLimitation","Form","Optional","Building (Structure) Level Rule 70.B.2.","True","","CP 10 51 07 88",0,1,"False","False",17300,"A"
"CW","Joint Or Disputed Loss Agreement","Building Detail","CommercialPropertyJointOrDisputedLossAgreement","Form","Optional","Building - Joint Or Disputed Loss Agreement","True","","CP 12 70 09 96",0,1,"False","False",17500,"A"
"CW","Leasehold Interest Coverage Form","Building Detail","CommercialPropertyLeaseholdInterestCoverageForm","Coverage","Conditional","Building (Structure) Level Only","False","","CP 00 60 06 95",0,0,"False","False",17700,"A"
"CW","Leasehold Interest Factors For 10.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor10Percent","Form","Conditional","","True","","CP 60 10 11 85",0,0,"False","False",18100,"A"
"CW","Leasehold Interest Factors For 11.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor11Percent","Form","Conditional","","True","","CP 60 11 06 95",0,0,"False","False",18300,"A"
"CW","Leasehold Interest Factors For 12.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor12Percent","Form","Conditional","","True","","CP 60 12 11 85",0,0,"False","False",18500,"A"
"CW","Leasehold Interest Factors For 13.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor13Percent","Form","Conditional","","True","","CP 60 13 11 85",0,0,"False","False",18700,"A"
"CW","Leasehold Interest Factors For 14.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor14Percent","Form","Conditional","","True","","CP 60 14 11 85",0,0,"False","False",18900,"A"
"CW","Leasehold Interest Factors For 15.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor15Percent","Form","Conditional","","True","","CP 60 15 11 85",0,0,"False","False",19100,"A"
"CW","Leasehold Interest Factors For 5.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor5Percent","Form","Conditional","","True","","CP 60 05 11 85",0,0,"False","False",19300,"A"
"CW","Leasehold Interest Factors For 6.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor6Percent","Form","Conditional","","True","","CP 60 06 11 85",0,0,"False","False",19500,"A"
"CW","Leasehold Interest Factors For 7.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor7Percent","Form","Conditional","","True","","CP 60 07 11 85",0,0,"False","False",19700,"A"
"CW","Leasehold Interest Factors For 8.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor8Percent","Form","Conditional","","True","","CP 60 08 11 85",0,0,"False","False",19900,"A"
"CW","Leasehold Interest Factors For 9.0%","Building Detail","CommercialPropertyLeaseholdInterestFactorsFor9Percent","Form","Conditional","","True","","CP 60 09 11 85",0,0,"False","False",20100,"A"
"CW","Legal Liability Coverage Form","Building Detail","CommercialPropertyLegalLiabilityCoverageForm","Form","Conditional","Building (Structure) Level","True","","CP 00 40 10 12",0,0,"False","False",20300,"A"
"CW","Limitations On Coverage For Roof Surfacing","Building Detail","CommercialPropertyLimitationsOnCovForRoofSurfacing","Form","Optional","","True","","CP 10 36 10 12",0,1,"True","True",20500,"A"
"CW","Loss Payable Provisions","Building Detail","CommercialPropertyLossPayableProvisions","Form","Optional","Building (Structure) Level","True","","CP 12 18 10 12",0,1,"True","True",20700,"A"
"CW","Loss Payable Provisions Summary","Loss Payable Provisions","CommercialPropertyLossPayableProvisionsDetail","Summary","","Building (Structure) Level","False","","",0,99,"False","False",20701,"A"
"CW","Loss Payable Provisions Detail","Loss Payable Provisions Summary","CommercialPropertyLossPayableProvisionsDetail","Detail","","Building (Structure) Level","False","","",0,1,"False","False",20702,"A"
"CW","Molten Material","Building Detail","CommercialPropertyMoltenMaterial","Coverage","Optional","Building (Structure) Level Rule 74.B.","False","","CP 10 60 07 88",0,1,"False","False",20900,"A"
"CW","Additional Insured - Building Owner","Building Detail","CommercialPropertyAdditionalInsuredBuildingOwner","Form","Optional","","True","","CP 12 19 06 07",0,1,"True","True",21100,"A"
"CW","Multiple Deductible Form (Fixed Dollar Deductibles)","Building Detail","CommercialPropertyMultipleDeductibleFormFixedDollarDeductibles","Form","Conditional","Building Level Rule 81.D.","True","","CP 03 20 04 18",0,0,"True","True",21100,"A"
"CW","Additional Insured - Building Owner Summary","Additional Insured - Building Owner","CommercialPropertyAdditionalInsuredBuildingOwnerDetail","Summary","","","False","","",1,99,"False","False",21101,"A"
"CW","Additional Insured - Building Owner Detail","Additional Insured - Building Owner Summary","CommercialPropertyAdditionalInsuredBuildingOwnerDetail","Detail","","","False","","",0,1,"False","False",21102,"A"
"CW","Newly Acquired Or Constructed Property - Increased Limit","Building Detail","CommercialPropertyNewlyAcquiredOrConstructedPropertyIncreasedLimit","Coverage","Optional","Building (Structure) Level Only Rule 38.K.","False","","CP 04 25 10 90",0,1,"True","True",21300,"A"
"CW","Ordinance Or Law Coverage","Building Detail","CommercialPropertyOrdinanceOrLawCoverage","Coverage","Optional","Building (Structure) Level Only Rule 38.D.","False","CovType != ""Improvements and Betterments""","CP 04 05 09 17",0,1,"True","True",21500,"A"
"CW","Ordinance Or Law Coverage For Tenant's Interest In Improvements And Betterments (Tenant's Policy)","Building Detail","CommercialPropertyOrdinanceOrLawCoverageForTenantsInterestInImprovementsAndBetterments","Coverage","Optional","Building (Structure) Level","False","CovType = ""Improvements and Betterments""","CP 04 26 09 17",0,1,"True","True",21505,"A"
"CW","Outdoor Trees, Shrubs And Plants","Building Detail","CommercialPropertyOutdoorTreesShrubsAndPlants","Coverage","Optional","Rule 38.O.","False","","CP 14 30 10 12",0,1,"True","True",21700,"A"
"CW","Outdoor Signs","Building Detail","CommercialPropertyOutsideSigns","Coverage","Optional","Building Level","False","","CP 14 40 06 07",0,1,"True","True",21900,"A"
"CW","Outdoor Signs Summary","Outdoor Signs","CommercialPropertyOutsideSignsDetail","Summary","","Building Level","False","","",1,99,"False","False",21901,"A"
"CW","Outdoor Signs Detail","Outdoor Signs Summary","CommercialPropertyOutsideSignsDetail","Detail","","Building (Structure) Level","False","","",0,1,"False","False",21902,"A"
