"StateCode","TableName","Comment","BureauRuleNumber","Status"
"CW","CommercialPropertyBusinessIncomeAndExtraExpenseCoverageForm","Business Income - (And Extra Expense) Coverage Form","50.B.1 BI","A"
"CW","CommercialPropertyBusinessIncomeAndExtraExpenseCoverageFormSpclClassBusnIncome","Special Class Business Income - (And Extra Expense) Coverage Form Special Class Busn Income","50.B.1 SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeAndOrExtraExpnCovForY2KComputerRelatedAndOtherElectronicProblems","Business Income - And/Or Extra Exp Cov Yr 2000 Comp Rel And Other Electronic","Y2KCompRltd BI","A"
"CW","CommercialPropertyBusinessIncomeBasicGroupICoverage","Business Income Coverage COL BGI","85 BI","A"
"CW","CommercialPropertyBusinessIncomeBasicGroupIICoverage","Business Income Coverage COL BGII","70 BI","A"
"CW","CommercialPropertyBusinessIncomeBroadCoverage","Business Income Coverage COL Broad","71 BI","A"
"CW","CommercialPropertyBusinessIncomeChangesBeginningOfThePeriodOfRestorationNoWaitingPeriod","Business Income - Changes - Beginning Of The Period Of Restoration","54.D BI","A"
"CW","CommercialPropertyBusinessIncomeChangesBeginningOfThePeriodOfRestorationNoWaitingPeriodBasicGroupICoverage","Business Income - Changes - Beginning Of The Period Of Restoration COL BGI","54.D BI BGI","A"
"CW","CommercialPropertyBusinessIncomeChangesBeginningOfThePeriodOfRestorationNoWaitingPeriodBasicGroupIICoverage","Business Income - Changes - Beginning Of The Period Of Restoration BGII","54.D BI BGII","A"
"CW","CommercialPropertyBusinessIncomeChangesBeginningOfThePeriodOfRestorationNoWaitingPeriodEarthquakeCoverage","Business Income - Changes - Beginning Of The Period Of Restoration EQ","54.D BI EQ","A"
"CW","CommercialPropertyBusinessIncomeChangesBeginningOfThePeriodOfRestorationNoWaitingPeriodSpclClassBusnIncome","Special Class Business Income - Beginning of the Period of Restoration","54.D SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeChangesEducationalInstitutions","Business Income - Changes - Educational Institutions","51.K BI","A"
"CW","CommercialPropertyBusinessIncomeChangesEducationalInstitutionsSpclClassBusnIncome","Special Class Business Income Changes - Educational Institutions","51.K SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeChangesFungusWetRotDryRotBacteriaCoverageBasicGroupICoverage","Business Income - Changes Fungus Wet Rot Dry Rot and Bacteria Cov BGI","Fungus BI BGI","A"
"CW","CommercialPropertyBusinessIncomeChangesFungusWetRotDryRotBacteriaCoverageBasicGroupIICoverage","Business Income - Changes Fungus Wet Rot Dry Rot and Bacteria Cov BGII","Fungus BI BGII","A"
"CW","CommercialPropertyBusinessIncomeChangesFungusWetRotDryRotBacteriaCoverageEarthquakeCoverage","Business Income - Changes Fungus Wet Rot Dry Rot and Bacteria Cov EQ","Fungus BI EQ","A"
"CW","CommercialPropertyBusinessIncomeCoverage","Business Income Coverage","Total BI Coverage","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverage","Business Income - Extended Period of Indemnity Coverage","51.D BI","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverageBasicGroupICoverage","Business Income - Extended Period of Indemnity Coverage COL BGI","51.D BI BGI","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverageBasicGroupIICoverage","Business Income - Extended Period of Indemnity Coverage COL BGII","51.D BI BGII","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverageBroadCoverage","Business Income - Extended Period of Indemnity Coverage COL Broad","51.D BI Broad","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverageEarthquakeCoverage","Business Income - Extended Period of Indemnity Coverage COL EQ","51.D BI EQ","A"
"CW","CommercialPropertyBusinessIncomeExtendedPeriodOfIndemnityCoverageSpecialCoverage","Business Income - Extended Period of Indemnity Coverage COL Special","51.D BI Sp","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadForm","Business Income - Business Income From Dependent Properties Broad Form","51.B.3.a BI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormBasicGroupICoverage","Business Income - Business Income From Dependent Properties Broad Form BGI","51.B.3.a BI BGI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormBasicGroupIICoverage","Business Income - Business Income From Dependent Properties Broad Form BGII","51.B.3.a BI BGII","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormBroadCoverage","Business Income - Business Income From Dependent Properties Broad Form Broad","51.B.3.a BI Broad","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormDetail","Business Income - Business Income From Dependent Properties Broad Form Detail","51.B.3.a  BI Dtl","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormEarthquakeCoverage","Business Income - Business Income From Dependent Properties Broad Form EQ","51.B.3.a BI EQ","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncome","Special Class Business Income - Business Income From Dependent Properties Broad Form","51.B.3.a SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeBasicGroupICoverage","Special Class Business Income - Business Income From Dependent Properties Broad Form BGI","51.B.3.a SpCl BI BGI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeBasicGroupIICoverage","Special Class Business Income - Business Income From Dependent Properties Broad Form BGII","51.B.3.a SpCl BI BGII","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeBroadCoverage","Special Class Business Income - Business Income From Dependent Properties Broad Form Broad","51.B.3.a SpCl BI Broad","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeDetail","Special Class Business Income - Business Income From Dependent Properties Broad Form Detail","51.B.3.a SpCl BI Dtl","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeEarthquakeCoverage","Special Class Business Income - Business Income From Dependent Properties Broad Form EQ","51.B.3.a SpCl BI EQ","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpclClassBusnIncomeSpecialCoverage","Special Class Business Income - Business Income From Dependent Properties Broad Form Special","51.B.3.a SpCl BI Sp","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormSpecialCoverage","Business Income - Business Income From Dependent Properties Broad Form Special","51.B.3.a BI Sp","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedForm","Business Income - Business Income From Dependent Properties Limited Form","51.B.3.b BI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormBasicGroupICoverage","Business Income - Business Income From Dependent Properties Limited Form BGI","51.B.3.b BI BGI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormBasicGroupIICoverage","Business Income - Business Income From Dependent Properties Limited Form BGII","51.B.3.b BI BGII","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormBroadCoverage","Business Income - Business Income From Dependent Properties Limited Form Broad","51.B.3.b BI Broad","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormDetail","Business Income - Business Income From Dependent Properties Limited Form Detail","51.B.3.b BI Dtl","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormEarthquakeCoverage","Business Income - Business Income From Dependent Properties Limited Form EQ","51.B.3.b BI EQ","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncome","Special Class Business Income - Business Income From Dependent Properties Limited Form","51.B.3.b  SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeBasicGroupICoverage","Special Class Business Income - Business Income From Dependent Properties Limited Form BGI","51.B.3.b SpCl BI BGI","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeBasicGroupIICoverage","Special Class Business Income - Business Income From Dependent Properties Limited Form BGII","51.B.3.b SpCl BI BGII","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeBroadCoverage","Special Class Business Income - Business Income From Dependent Properties Limited Form Broad","51.B.3.b SpCl BI Broad","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeDetail","Special Class Business Income - Business Income From Dependent Properties Limited Form Detail","51.B.3.b SpCl BI Dtl","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeEarthquakeCoverage","Special Class Business Income - Business Income From Dependent Properties Limited Form EQ","51.B.3.b SpCl BI EQ","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeSpecialCoverage","Special Class Business Income - Business Income From Dependent Properties Limited Form Special","51.B.3.b SpCl BI Sp","A"
"CW","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpecialCoverage","Business Income - Business Income From Dependent Properties Limited Form Special","51.B.3.b BI Sp","A"
"CW","CommercialPropertyBusinessIncomeInterruptionOfComputerOperationsCoverage","Business Income - Interruption Of Computer Operations Coverage","52.E BI","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValue","Business Income - Landlord As Additonal Insured (Rental Value) CP 15 03","51.M BI","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueBasicGroupICoverage","Business Income - Landlord As Additonal Insured (Rental Value) COL BGI","51.M BI BGI","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueBasicGroupIICoverage","Business Income - Landlord As Additonal Insured (Rental Value) COL BGII","51.M BI BGII","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueBroadCoverage","Business Income - Landlord As Additonal Insured (Rental Value) COL Broad","51.M BI Broad","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueEarthquakeCoverage","Business Income - Landlord As Additonal Insured (Rental Value) COL EQ","51.M BI EQ","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncome","Special Class Business Income - Landlord As Addnl Insd (Rental Value) CP 15 03","51.M SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncomeBasicGroupICoverage","Special Class Business Income - Landlord As Addnl Insd (Rental Value) Inc COL BGI","51.M SpCl BI BGI","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncomeBasicGroupIICoverage","Special Class Business Income - Landlord As Addnl Insd (Rental Value) Inc COL BGII","51.M SpCl BI BGII","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncomeBroadCoverage","Special Class Business Income - Landlord As Addnl Insd (Rental Value) Inc COL Broad","51.M SpCl BI Broad","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncomeEarthquakeCoverage","Special Class Business Income - Landlord As Addnl Insd (Rental Value) Inc COL EQ","51.M SpCl BI EQ","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncomeSpecialCoverage","Special Class Business Income - Landlord As Addnl Insd (Rental Value) COL Special","51.M SpCl BI Sp","A"
"CW","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpecialCoverage","Business Income - Landlord As Additonal Insured (Rental Value) COL Special","51.M BI Sp","A"
"CW","CommercialPropertyBusinessIncomePremiumAdjustmentForm","Business Income - Business Income Premium Adjustment BI CP 15 20","51.C.2.a BI","A"
"CW","CommercialPropertyBusinessIncomePremiumAdjustmentFormSpclClassBusnIncome","Special Class Business Income - Business Income Premium Adjustment","51.C.2.a SpCl BI","A"
"CW","CommercialPropertyBusinessIncomeSpecialCoverage","Business Income Coverage COL Special","72 BI","A"
"CW","CommercialPropertyBusinessIncomeWatercraftExclusionBuybackCoverage","Business Income - Watercraft Exclusion Buyback","74.G.1.b BI","A"
"CW","CommercialPropertyBusinessIncomeWithoutExtraExpenseCoverageForm","Business Income - (Without Extra Expense) Coverage Form Busn Income  CP 00 32","50.B.2 BI","A"
"CW","CommercialPropertyBusinessIncomeWithoutExtraExpenseCoverageFormSpclClassBusnIncome","Special Class Business Income - (Without Extra Expense) Coverage Form Special Class Busn Income","50.B.2 SpCl BI","A"
"CW","CommercialPropertyBusnIncomeChangesBeginningOfThePerOfRestrtnNoWaitingPerSpclClassBusnIncomeBasicGroupICoverage","Special Class Business Income - Beginning of the Period of Restoration COL BGI","54.D SpCl BI BGI","A"
"CW","CommercialPropertyBusnIncomeChangesBeginningOfThePerOfRestrtnNoWaitingPerSpclClassBusnIncomeBasicGroupIICoverage","Special Class Business Income - Beginning of the Period of Restoration COL BGII","54.D SpCl BI BGII","A"
"CW","CommercialPropertyBusnIncomeChangesBeginningOfThePerOfRestrtnNoWaitingPerSpclClassBusnIncomeEarthquakeCoverage","Special Class Business Income - Beginning of the Period of Restoration COL EQ","54.D SpCl BI EQ","A"
"CW","CommercialPropertyBusnIncomeFromDependentPropertiesLimitedInternationalCov","Business Income - Business Income From Dependent Properties Limited International Cov","51.B.6 BI","A"
"CW","CommercialPropertyBusnIncomeFromDependentPropertiesLimitedInternationalCovDetail","Business Income - Business Income From Dependent Properties Limited International Cov Detail","51.B.6 BI Dtl","A"
"CW","CommercialPropertyBusnIncomeFromDependentPropertiesLimitedInternationalCovSpclClassBusnIncome","Special Class Business Income - Busn Inc From Dependent Props Limited Intnl Cov","51.B.6 SpCl BI","A"
"CW","CommercialPropertyBusnIncomeFromDependentPropertiesLimitedInternationalCovSpclClassBusnIncomeDetail","Special Class Business Income - Busn Inc From Dependent Props Limited Intnl Cov Detail","51.B.6 SpCl BI Dtl","A"
"CW","CommercialPropertyBusnPrsnlPropLimitedInternationalCov","Personal Property - Business Personal Property Limited International Cov","38.W.1 PrsnlProp","A"
"CW","CommercialPropertyCalculationOfPremium","Policy - Calculation Of Premium IL 00 03","5.B.4 Policy","A"
"CW","CommercialPropertyCannabisExclusionBuilding","Building - Cannabis Exclusion","39.A.1 Building","A"
"CW","CommercialPropertyCannabisExclusionBusinessIncome","Business Income - Cannabis Exclusion","39.A.1 BusnIncome","A"
"CW","CommercialPropertyCannabisExclusionPersonalProperty","Personal Property - Cannabis Exclusion","39.A.1 PrsnlProp","A"
"CW","CommercialPropertyCannabisExclusionSpecialClass","Special Class - Cannabis Exclusion","39.A.1 Special Class","A"
"CW","CommercialPropertyCannabisExclusionSpecialClassBusinessIncome","Special Class Business Income - Cannabis Exclusion","39.A.1 SpclClassBusnIncome","A"
"CW","CommercialPropertyCannabisExclusionWithHempExceptionBuilding","Building - Cannabis Exclusion With Hemp Exception","39.A.2 Building","A"
"CW","CommercialPropertyCannabisExclusionWithHempExceptionBusinessIncome","Business Income - Cannabis Exclusion With Hemp Exception","39.A.2 BusnIncome","A"
"CW","CommercialPropertyCannabisExclusionWithHempExceptionPersonalProperty","Personal Property - Cannabis Exclusion With Hemp Exception","39.A.2 PrsnlProp","A"
"CW","CommercialPropertyCannabisExclusionWithHempExceptionSpecialClass","Special Class - Cannabis Exclusion With Hemp Exception","39.A.2 Special Class","A"
"CW","CommercialPropertyCannabisExclusionWithHempExceptionSpecialClassBusinessIncome","Special Class Business Income - Cannabis Exclusion With Hemp Exception","39.A.2 SpclClassBusnIncome","A"
"CW","CommercialPropertyCapOnLossesFromCertifiedActsOfTerrorism","Policy - Terrorism IL 09 52","TER IL 09 52","A"
"CW","CommercialPropertyCauseOfLossBasicFormBldg","Building - Causes Of Loss - Basic Form CP 10 10","70.B.1 Bldg","A"
"CW","CommercialPropertyCauseOfLossBasicFormBusnIncome","Business Income - Causes Of Loss - Basic Form","70.B.1 BI","A"
"CW","CommercialPropertyCauseOfLossBasicFormPrsnlProp","Personal Property - Causes Of Loss - Basic Form","70.B.1 PrsnlProp","A"
"CW","CommercialPropertyCauseOfLossBasicFormSpclClassBusnIncome","Special Class Business Income - Causes Of Loss - Basic Form","70.B.1 SpCl BI","A"
"CW","CommercialPropertyCauseOfLossBasicFormSpecialClass","Special Class - Causes Of Loss - Basic Form","70.B.1 SpCl","A"
"CW","CommercialPropertyCauseOfLossBroadFormBldg","Building - Causes Of Loss - Broad Form  CP 10 20","71.B.1 Bldg","A"
"CW","CommercialPropertyCauseOfLossBroadFormBusnIncome","Business Income - Causes Of Loss - Broad Form","71.B.1 BI","A"
"CW","CommercialPropertyCauseOfLossBroadFormPrsnlProp","Personal Property - Causes Of Loss - Broad Form","71.B.1 Prsnl Prop","A"
"CW","CommercialPropertyCauseOfLossBroadFormSpclClassBusnIncome","Special Class Business Income - Causes Of Loss - Broad Form","71.B.1 SpCl BI","A"
"CW","CommercialPropertyCauseOfLossBroadFormSpecialClass","Special Class - Causes Of Loss - Broad Form","71.B.1 SpCl","A"
"CW","CommercialPropertyCauseOfLossSpecialFormBldg","Building - Causes Of Loss - Special Form Bldg CP 10 30","72.B.1 Bldg","A"
"CW","CommercialPropertyCauseOfLossSpecialFormBusnIncome","Business Income - Causes Of Loss - Special Form","72.B.1 BI","A"
"CW","CommercialPropertyCauseOfLossSpecialFormPrsnlProp","Personal Property - Causes Of Loss - Special Form","72.B.1 Prsnl Prop","A"
"CW","CommercialPropertyCauseOfLossSpecialFormSpclClassBusnIncome","Special Class Business Income - Causes Of Loss - Special Form","72.B.1 SpCl BI","A"
"CW","CommercialPropertyCauseOfLossSpecialFormSpecialClass","Special Class - Causes Of Loss - Special Form","72.B.1 SpCl","A"
