"StateCode","OccupCategory","ClassCode","OccupancyGroup","GroupNumber"
"CW","Industrial and Processing","1051","All other industrial and processing risks",7
"CW","Industrial and Processing","1052","All other industrial and processing risks",7
"CW","Industrial and Processing","1070","All other industrial and processing risks",7
"CW","Industrial and Processing","1150","All other industrial and processing risks",7
"CW","Industrial and Processing","1211","All other industrial and processing risks",7
"CW","Industrial and Processing","1212","All other industrial and processing risks",7
"CW","Industrial and Processing","1213","All other industrial and processing risks",7
"CW","Industrial and Processing","1220","All other industrial and processing risks",7
"CW","Industrial and Processing","1230","All other industrial and processing risks",7
"CW","Industrial and Processing","1251","All other industrial and processing risks",7
"CW","Industrial and Processing","1252","All other industrial and processing risks",7
"CW","Industrial and Processing","1300","All other industrial and processing risks",7
"CW","Industrial and Processing","1400","All other industrial and processing risks",7
"CW","Industrial and Processing","1450","All other industrial and processing risks",7
"CW","Industrial and Processing","1501","All other industrial and processing risks",7
"CW","Industrial and Processing","1502","All other industrial and processing risks",7
"CW","Industrial and Processing","1550","All other industrial and processing risks",7
"CW","Industrial and Processing","1610","All other industrial and processing risks",7
"CW","Industrial and Processing","1650","All other industrial and processing risks",7
"CW","Industrial and Processing","1700","All other industrial and processing risks",7
"CW","Industrial and Processing","1751","All other industrial and processing risks",7
"CW","Industrial and Processing","1752","All other industrial and processing risks",7
"CW","Industrial and Processing","2000","All other industrial and processing risks",7
"CW","Industrial and Processing","2059","All other industrial and processing risks",7
"CW","Industrial and Processing","2150","All other industrial and processing risks",7
"CW","Industrial and Processing","2200","All other industrial and processing risks",7
"CW","Industrial and Processing","2250","All other industrial and processing risks",7
"CW","Industrial and Processing","2300","All other industrial and processing risks",7
"CW","Industrial and Processing","2350","All other industrial and processing risks",7
"CW","Industrial and Processing","2400","All other industrial and processing risks",7
"CW","Industrial and Processing","2459","All other industrial and processing risks",7
"CW","Industrial and Processing","2550","All other industrial and processing risks",7
"CW","Industrial and Processing","2600","All other industrial and processing risks",7
"CW","Industrial and Processing","2750","All other industrial and processing risks",7
"CW","Industrial and Processing","2800","Fiber Mfg.",6
"CW","Industrial and Processing","2805","All other industrial and processing risks",7
"CW","Industrial and Processing","3009","All other industrial and processing risks",7
"CW","Industrial and Processing","3409","All other industrial and processing risks",7
"CW","Industrial and Processing","3809","All other industrial and processing risks",7
"CW","Industrial and Processing","3959","Wood Products Mfg. NOC",5
"CW","Industrial and Processing","4400","Paper and Pulp Mfg.",5
"CW","Industrial and Processing","4450","All other industrial and processing risks",7
"CW","Industrial and Processing","4809","All other industrial and processing risks",7
"CW","Industrial and Processing","5000","Asphalt or Tar Distilling or Refining, Or Asphalt Works",4
"CW","Industrial and Processing","5050","Asphalt or Tar Distilling or Refining, Or Asphalt Works",4
"CW","Industrial and Processing","5100","Asphalt or Tar Distilling or Refining, Or Asphalt Works",4
"CW","Industrial and Processing","5000","Chemical or Rubber Mfg.",6
"CW","Industrial and Processing","5050","Chemical or Rubber Mfg.",6
"CW","Industrial and Processing","5100","Chemical or Rubber Mfg.",6
"CW","Industrial and Processing","5500","All other industrial and processing risks",7
"CW","Industrial and Processing","5759","All other industrial and processing risks",7
"CW","Industrial and Processing","6009","Asphalt or Tar Distilling or Refining, Or Asphalt Works",4
"CW","Industrial and Processing","6009","Concret Products Mfg., BrickMfg., Cement or Plaster Mfg.",4
"CW","Industrial and Processing","6210","All other industrial and processing risks",7
"CW","Industrial and Processing","6250","All other industrial and processing risks",7
"CW","Industrial and Processing","6810","Foundries",5
"CW","Industrial and Processing","6810","Forging Work",6
"CW","Industrial and Processing","6810","Metal Works and Metal Goods Mfg. - heavy metalworking",6
"CW","Industrial and Processing","6810","Metals - extraction or refining of metals",5
"CW","Industrial and Processing","6850","Metal Works and Metal Goods Mfg. - other than heavy metalworking",5
"CW","Industrial and Processing","6850","Wire Rope or Cable Mfg. - metal",6
"CW","Industrial and Processing","6900","Metal Works and Metal Goods Mfg. - other than heavy metalworking",5
"CW","Industrial and Processing","7300","All other industrial and processing risks",7
"CW","Industrial and Processing","7350","All other industrial and processing risks",7
"CW","Industrial and Processing","7409","All other industrial and processing risks",7
"CW","Industrial and Processing","7500","All other industrial and processing risks",7
"CW","Industrial and Processing","7600","All other industrial and processing risks",7
"CW","Industrial and Processing","7700","All other industrial and processing risks",7
"CW","Institutional","0074","All other institutional risks",3
"CW","Institutional","0075","All other institutional risks",3
"CW","Institutional","0076","All other institutional risks",3
"CW","Institutional","0077","All other institutional risks",3
"CW","Institutional","0078","All other institutional risks",3
"CW","Institutional","0079","All other institutional risks",3
"CW","Institutional","0196","All other institutional risks",3
"CW","Institutional","0197","All other institutional risks",3
"CW","Institutional","0198","All other institutional risks",3
"CW","Institutional","0300","All other institutional risks",3
"CW","Institutional","0311","All other institutional risks",3
"CW","Institutional","0312","All other institutional risks",3
"CW","Institutional","0313","All other institutional risks",3
"CW","Institutional","0321","All other institutional risks",3
"CW","Institutional","0322","All other institutional risks",3
"CW","Institutional","0323","All other institutional risks",3
"CW","Institutional","0331","All other institutional risks",3
"CW","Institutional","0332","All other institutional risks",3
"CW","Institutional","0333","All other institutional risks",3
"CW","Institutional","0341","All other institutional risks",3
"CW","Institutional","0342","All other institutional risks",3
"CW","Institutional","0343","All other institutional risks",3
"CW","Institutional","0431","All other institutional risks",3
"CW","Institutional","0432","All other institutional risks",3
"CW","Institutional","0433","All other institutional risks",3
"CW","Institutional","0434","All other institutional risks",3
"CW","Institutional","0511","All other institutional risks",3
"CW","Institutional","0512","All other institutional risks",3
"CW","Institutional","0520","All other institutional risks",3
"CW","Institutional","0531","All other institutional risks",3
"CW","Institutional","0532","All other institutional risks",3
"CW","Institutional","0533","All other institutional risks",3
"CW","Institutional","0534","All other institutional risks",3
"CW","Institutional","0541","All other institutional risks",3
"CW","Institutional","0542","All other institutional risks",3
"CW","Institutional","0545","All other institutional risks",3
"CW","Institutional","0550","All other institutional risks",3
"CW","Institutional","0561","All other institutional risks",3
"CW","Institutional","0562","All other institutional risks",3
"CW","Institutional","0563","All other institutional risks",3
"CW","Institutional","0564","All other institutional risks",3
"CW","Institutional","0565","All other institutional risks",3
"CW","Institutional","0566","All other institutional risks",3
"CW","Institutional","0567","All other institutional risks",3
"CW","Institutional","0570","All other institutional risks",3
"CW","Institutional","0580","All other institutional risks",3
"CW","Institutional","0581","All other institutional risks",3
"CW","Institutional","0582","All other institutional risks",3
"CW","Institutional","0701","All other institutional risks",3
"CW","Institutional","0702","All other institutional risks",3
"CW","Institutional","0742","All other institutional risks",3
"CW","Institutional","0743","All other institutional risks",3
"CW","Institutional","0744","All other institutional risks",3
"CW","Institutional","0745","All other institutional risks",3
"CW","Institutional","0746","All other institutional risks",3
"CW","Institutional","0747","All other institutional risks",3
"CW","Institutional","0755","All other institutional risks",3
"CW","Institutional","0756","All other institutional risks",3
"CW","Institutional","0757","All other institutional risks",3
"CW","Institutional","0831","All other institutional risks",3
"CW","Institutional","0832","All other institutional risks",3
"CW","Institutional","0833","All other institutional risks",3
"CW","Institutional","0834","All other institutional risks",3
"CW","Institutional","0841","All other institutional risks",3
"CW","Institutional","0843","All other institutional risks",3
"CW","Institutional","0844","All other institutional risks",3
"CW","Institutional","0845","All other institutional risks",3
"CW","Institutional","0846","All other institutional risks",3
"CW","Institutional","0851","All other institutional risks",3
"CW","Institutional","0852","All other institutional risks",3
"CW","Institutional","0900","All other institutional risks",3
"CW","Institutional","0911","All other institutional risks",3
"CW","Institutional","0912","All other institutional risks",3
"CW","Institutional","0913","All other institutional risks",3
"CW","Institutional","0921","All other institutional risks",3
"CW","Institutional","0922","All other institutional risks",3
"CW","Institutional","0923","All other institutional risks",3
"CW","Institutional","0931","All other institutional risks",3
"CW","Institutional","0932","All other institutional risks",3
"CW","Institutional","0933","All other institutional risks",3
"CW","Institutional","0934","All other institutional risks",3
"CW","Institutional","0940","All other institutional risks",3
"CW","Institutional","0951","All other institutional risks",3
"CW","Institutional","0952","All other institutional risks",3
"CW","Institutional","1000","All other institutional risks",3
"CW","Institutional","1051","All other institutional risks",3
"CW","Institutional","1052","All other institutional risks",3
"CW","Institutional","1070","Water or Sewage Treatment Plants",2
"CW","Institutional","1150","All other institutional risks",3
"CW","Institutional","1211","All other institutional risks",3
"CW","Institutional","1212","All other institutional risks",3
"CW","Institutional","1213","All other institutional risks",3
"CW","Institutional","1220","All other institutional risks",3
"CW","Institutional","1230","All other institutional risks",3
"CW","Institutional","1251","All other institutional risks",3
"CW","Institutional","1252","All other institutional risks",3
"CW","Institutional","1300","All other institutional risks",3
"CW","Institutional","1400","All other institutional risks",3
"CW","Institutional","1450","All other institutional risks",3
"CW","Institutional","1501","All other institutional risks",3
"CW","Institutional","1502","All other institutional risks",3
"CW","Institutional","1550","All other institutional risks",3
"CW","Institutional","1610","All other institutional risks",3
"CW","Institutional","1650","All other institutional risks",3
"CW","Institutional","1700","All other institutional risks",3
"CW","Institutional","1751","All other institutional risks",3
"CW","Institutional","1752","All other institutional risks",3
"CW","Institutional","2000","All other institutional risks",3
"CW","Institutional","2059","All other institutional risks",3
"CW","Institutional","2150","All other institutional risks",3
"CW","Institutional","2200","All other institutional risks",3
"CW","Institutional","2250","All other institutional risks",3
"CW","Institutional","2300","All other institutional risks",3
"CW","Institutional","2350","All other institutional risks",3
"CW","Institutional","2400","All other institutional risks",3
"CW","Institutional","2459","All other institutional risks",3
"CW","Institutional","2550","All other institutional risks",3
"CW","Institutional","2600","All other institutional risks",3
"CW","Institutional","2750","All other institutional risks",3
"CW","Institutional","2800","All other institutional risks",3
"CW","Institutional","2805","All other institutional risks",3
"CW","Institutional","3009","All other institutional risks",3
"CW","Institutional","3409","All other institutional risks",3
"CW","Institutional","3809","All other institutional risks",3
"CW","Institutional","3959","All other institutional risks",3
"CW","Institutional","4400","All other institutional risks",3
"CW","Institutional","4450","All other institutional risks",3
"CW","Institutional","4809","All other institutional risks",3
"CW","Institutional","5000","All other institutional risks",3
"CW","Institutional","5050","All other institutional risks",3
"CW","Institutional","5100","All other institutional risks",3
"CW","Institutional","5500","All other institutional risks",3
"CW","Institutional","5759","All other institutional risks",3
"CW","Institutional","6009","All other institutional risks",3
"CW","Institutional","6210","All other institutional risks",3
"CW","Institutional","6250","All other institutional risks",3
"CW","Institutional","6810","All other institutional risks",3
"CW","Institutional","6850","All other institutional risks",3
"CW","Institutional","6900","All other institutional risks",3
"CW","Institutional","7300","All other institutional risks",3
"CW","Institutional","7350","All other institutional risks",3
"CW","Institutional","7409","All other institutional risks",3
"CW","Institutional","7500","All other institutional risks",3
"CW","Institutional","7600","All other institutional risks",3
"CW","Institutional","7700","All other institutional risks",3
"CW","Mercantile","0074","All other mercantile risks",9
"CW","Mercantile","0075","All other mercantile risks",9
"CW","Mercantile","0076","All other mercantile risks",9
"CW","Mercantile","0077","All other mercantile risks",9
"CW","Mercantile","0078","All other mercantile risks",9
"CW","Mercantile","0079","All other mercantile risks",9
"CW","Mercantile","0196","All other mercantile risks",9
"CW","Mercantile","0197","All other mercantile risks",9
"CW","Mercantile","0198","All other mercantile risks",9
"CW","Mercantile","0300","All other mercantile risks",9
"CW","Mercantile","0311","All other mercantile risks",9
"CW","Mercantile","0312","All other mercantile risks",9
"CW","Mercantile","0313","All other mercantile risks",9
"CW","Mercantile","0321","All other mercantile risks",9
"CW","Mercantile","0322","All other mercantile risks",9
"CW","Mercantile","0323","All other mercantile risks",9
"CW","Mercantile","0331","All other mercantile risks",9
"CW","Mercantile","0332","All other mercantile risks",9
"CW","Mercantile","0333","All other mercantile risks",9
"CW","Mercantile","0341","All other mercantile risks",9
"CW","Mercantile","0342","All other mercantile risks",9
"CW","Mercantile","0343","All other mercantile risks",9
"CW","Mercantile","0431","All other mercantile risks",9
"CW","Mercantile","0432","All other mercantile risks",9
"CW","Mercantile","0433","All other mercantile risks",9
"CW","Mercantile","0434","All other mercantile risks",9
"CW","Mercantile","0511","All other mercantile risks",9
"CW","Mercantile","0512","All other mercantile risks",9
"CW","Mercantile","0520","All other mercantile risks",9
"CW","Mercantile","0531","All other mercantile risks",9
"CW","Mercantile","0532","Restaurants",8
"CW","Mercantile","0533","All other mercantile risks",9
"CW","Mercantile","0534","All other mercantile risks",9
"CW","Mercantile","0541","Bars and Taverns",8
"CW","Mercantile","0542","Restaurants",8
"CW","Mercantile","0545","Restaurants",8
"CW","Mercantile","0550","All other mercantile risks",9
"CW","Mercantile","0561","All other mercantile risks",9
"CW","Mercantile","0562","All other mercantile risks",9
"CW","Mercantile","0563","All other mercantile risks",9
"CW","Mercantile","0564","All other mercantile risks",9
"CW","Mercantile","0565","All other mercantile risks",9
"CW","Mercantile","0566","All other mercantile risks",9
"CW","Mercantile","0567","All other mercantile risks",9
"CW","Mercantile","0570","All other mercantile risks",9
"CW","Mercantile","0580","All other mercantile risks",9
"CW","Mercantile","0581","All other mercantile risks",9
"CW","Mercantile","0582","All other mercantile risks",9
"CW","Mercantile","0701","All other mercantile risks",9
"CW","Mercantile","0702","All other mercantile risks",9
"CW","Mercantile","0742","All other mercantile risks",9
"CW","Mercantile","0743","All other mercantile risks",9
"CW","Mercantile","0744","All other mercantile risks",9
"CW","Mercantile","0745","All other mercantile risks",9
"CW","Mercantile","0746","All other mercantile risks",9
"CW","Mercantile","0747","All other mercantile risks",9
"CW","Mercantile","0755","All other mercantile risks",9
"CW","Mercantile","0756","All other mercantile risks",9
"CW","Mercantile","0757","All other mercantile risks",9
"CW","Mercantile","0831","All other mercantile risks",9
"CW","Mercantile","0832","All other mercantile risks",9
"CW","Mercantile","0833","All other mercantile risks",9
"CW","Mercantile","0834","All other mercantile risks",9
"CW","Mercantile","0841","All other mercantile risks",9
"CW","Mercantile","0843","All other mercantile risks",9
"CW","Mercantile","0844","All other mercantile risks",9
"CW","Mercantile","0845","All other mercantile risks",9
"CW","Mercantile","0846","All other mercantile risks",9
"CW","Mercantile","0851","All other mercantile risks",9
"CW","Mercantile","0852","All other mercantile risks",9
"CW","Mercantile","0900","All other mercantile risks",9
"CW","Mercantile","0911","All other mercantile risks",9
"CW","Mercantile","0912","All other mercantile risks",9
"CW","Mercantile","0913","All other mercantile risks",9
"CW","Mercantile","0921","All other mercantile risks",9
"CW","Mercantile","0922","All other mercantile risks",9
"CW","Mercantile","0923","All other mercantile risks",9
"CW","Mercantile","0931","All other mercantile risks",9
"CW","Mercantile","0932","All other mercantile risks",9
"CW","Mercantile","0933","All other mercantile risks",9
"CW","Mercantile","0934","All other mercantile risks",9
"CW","Mercantile","0940","All other mercantile risks",9
"CW","Mercantile","0951","All other mercantile risks",9
"CW","Mercantile","0952","All other mercantile risks",9
"CW","Mercantile","1000","All other mercantile risks",9
"CW","Mercantile","1051","All other mercantile risks",9
"CW","Mercantile","1052","All other mercantile risks",9
"CW","Mercantile","1070","All other mercantile risks",9
"CW","Mercantile","1150","All other mercantile risks",9
"CW","Mercantile","1180","All other mercantile risks",9
"CW","Mercantile","1185","All other mercantile risks",9
"CW","Mercantile","1190","All other mercantile risks",9
"CW","Mercantile","1200","All other mercantile risks",9
"CW","Mercantile","1211","All other mercantile risks",9
"CW","Mercantile","1212","All other mercantile risks",9
"CW","Mercantile","1213","All other mercantile risks",9
"CW","Mercantile","1220","All other mercantile risks",9
"CW","Mercantile","1230","All other mercantile risks",9
"CW","Mercantile","1251","All other mercantile risks",9
"CW","Mercantile","1252","All other mercantile risks",9
"CW","Mercantile","1300","All other mercantile risks",9
"CW","Mercantile","1400","All other mercantile risks",9
"CW","Mercantile","1450","All other mercantile risks",9
"CW","Mercantile","1501","All other mercantile risks",9
"CW","Mercantile","1502","All other mercantile risks",9
"CW","Mercantile","1550","All other mercantile risks",9
"CW","Mercantile","1610","All other mercantile risks",9
"CW","Mercantile","1650","All other mercantile risks",9
"CW","Mercantile","1700","All other mercantile risks",9
"CW","Mercantile","1751","All other mercantile risks",9
"CW","Mercantile","1752","All other mercantile risks",9
"CW","Mercantile","2000","All other mercantile risks",9
"CW","Mercantile","2059","All other mercantile risks",9
"CW","Mercantile","2150","All other mercantile risks",9
"CW","Mercantile","2200","All other mercantile risks",9
"CW","Mercantile","2250","All other mercantile risks",9
"CW","Mercantile","2300","All other mercantile risks",9
"CW","Mercantile","2350","All other mercantile risks",9
"CW","Mercantile","2400","All other mercantile risks",9
"CW","Mercantile","2459","All other mercantile risks",9
"CW","Mercantile","2550","All other mercantile risks",9
"CW","Mercantile","2600","All other mercantile risks",9
"CW","Mercantile","2750","All other mercantile risks",9
"CW","Mercantile","2800","All other mercantile risks",9
"CW","Mercantile","2805","All other mercantile risks",9
"CW","Mercantile","3009","All other mercantile risks",9
"CW","Mercantile","3409","All other mercantile risks",9
"CW","Mercantile","3809","All other mercantile risks",9
"CW","Mercantile","3959","All other mercantile risks",9
"CW","Mercantile","4400","All other mercantile risks",9
"CW","Mercantile","4450","All other mercantile risks",9
"CW","Mercantile","4809","All other mercantile risks",9
"CW","Mercantile","5000","All other mercantile risks",9
"CW","Mercantile","5050","All other mercantile risks",9
"CW","Mercantile","5100","All other mercantile risks",9
"CW","Mercantile","5500","All other mercantile risks",9
"CW","Mercantile","5759","All other mercantile risks",9
"CW","Mercantile","6009","All other mercantile risks",9
"CW","Mercantile","6210","All other mercantile risks",9
"CW","Mercantile","6250","All other mercantile risks",9
"CW","Mercantile","6810","All other mercantile risks",9
"CW","Mercantile","6850","All other mercantile risks",9
"CW","Mercantile","6900","All other mercantile risks",9
"CW","Mercantile","7300","All other mercantile risks",9
"CW","Mercantile","7350","All other mercantile risks",9
"CW","Mercantile","7409","All other mercantile risks",9
"CW","Mercantile","7500","All other mercantile risks",9
"CW","Mercantile","7600","All other mercantile risks",9
"CW","Mercantile","7700","All other mercantile risks",9
"CW","Motels and Hotels","0074","All motel-hotel risks",10
"CW","Motels and Hotels","0075","All motel-hotel risks",10
"CW","Motels and Hotels","0076","All motel-hotel risks",10
"CW","Motels and Hotels","0077","All motel-hotel risks",10
"CW","Motels and Hotels","0078","All motel-hotel risks",10
"CW","Motels and Hotels","0079","All motel-hotel risks",10
"CW","Motels and Hotels","0196","All motel-hotel risks",10
"CW","Motels and Hotels","0197","All motel-hotel risks",10
"CW","Motels and Hotels","0198","All motel-hotel risks",10
"CW","Motels and Hotels","0300","All motel-hotel risks",10
"CW","Motels and Hotels","0311","All motel-hotel risks",10
"CW","Motels and Hotels","0312","All motel-hotel risks",10
"CW","Motels and Hotels","0313","All motel-hotel risks",10
"CW","Motels and Hotels","0321","All motel-hotel risks",10
"CW","Motels and Hotels","0322","All motel-hotel risks",10
"CW","Motels and Hotels","0323","All motel-hotel risks",10
"CW","Motels and Hotels","0331","All motel-hotel risks",10
"CW","Motels and Hotels","0332","All motel-hotel risks",10
"CW","Motels and Hotels","0333","All motel-hotel risks",10
"CW","Motels and Hotels","0341","All motel-hotel risks",10
"CW","Motels and Hotels","0342","All motel-hotel risks",10
"CW","Motels and Hotels","0343","All motel-hotel risks",10
"CW","Motels and Hotels","0431","All motel-hotel risks",10
"CW","Motels and Hotels","0432","All motel-hotel risks",10
"CW","Motels and Hotels","0433","All motel-hotel risks",10
"CW","Motels and Hotels","0434","All motel-hotel risks",10
"CW","Motels and Hotels","0511","All motel-hotel risks",10
"CW","Motels and Hotels","0512","All motel-hotel risks",10
"CW","Motels and Hotels","0520","All motel-hotel risks",10
"CW","Motels and Hotels","0531","All motel-hotel risks",10
"CW","Motels and Hotels","0532","All motel-hotel risks",10
"CW","Motels and Hotels","0533","All motel-hotel risks",10
"CW","Motels and Hotels","0534","All motel-hotel risks",10
"CW","Motels and Hotels","0541","All motel-hotel risks",10
"CW","Motels and Hotels","0542","All motel-hotel risks",10
"CW","Motels and Hotels","0545","All motel-hotel risks",10
"CW","Motels and Hotels","0550","All motel-hotel risks",10
"CW","Motels and Hotels","0561","All motel-hotel risks",10
"CW","Motels and Hotels","0562","All motel-hotel risks",10
"CW","Motels and Hotels","0563","All motel-hotel risks",10
"CW","Motels and Hotels","0564","All motel-hotel risks",10
"CW","Motels and Hotels","0565","All motel-hotel risks",10
"CW","Motels and Hotels","0566","All motel-hotel risks",10
"CW","Motels and Hotels","0567","All motel-hotel risks",10
"CW","Motels and Hotels","0570","All motel-hotel risks",10
"CW","Motels and Hotels","0580","All motel-hotel risks",10
"CW","Motels and Hotels","0581","All motel-hotel risks",10
"CW","Motels and Hotels","0582","All motel-hotel risks",10
"CW","Motels and Hotels","0701","All motel-hotel risks",10
"CW","Motels and Hotels","0702","All motel-hotel risks",10
"CW","Motels and Hotels","0742","All motel-hotel risks",10
"CW","Motels and Hotels","0743","All motel-hotel risks",10
"CW","Motels and Hotels","0744","All motel-hotel risks",10
"CW","Motels and Hotels","0745","All motel-hotel risks",10
"CW","Motels and Hotels","0746","All motel-hotel risks",10
"CW","Motels and Hotels","0747","All motel-hotel risks",10
"CW","Motels and Hotels","0755","All motel-hotel risks",10
"CW","Motels and Hotels","0756","All motel-hotel risks",10
"CW","Motels and Hotels","0757","All motel-hotel risks",10
"CW","Motels and Hotels","0831","All motel-hotel risks",10
"CW","Motels and Hotels","0832","All motel-hotel risks",10
"CW","Motels and Hotels","0833","All motel-hotel risks",10
"CW","Motels and Hotels","0834","All motel-hotel risks",10
"CW","Motels and Hotels","0841","All motel-hotel risks",10
"CW","Motels and Hotels","0843","All motel-hotel risks",10
"CW","Motels and Hotels","0844","All motel-hotel risks",10
"CW","Motels and Hotels","0845","All motel-hotel risks",10
"CW","Motels and Hotels","0846","All motel-hotel risks",10
"CW","Motels and Hotels","0851","All motel-hotel risks",10
"CW","Motels and Hotels","0852","All motel-hotel risks",10
"CW","Motels and Hotels","0900","All motel-hotel risks",10
"CW","Motels and Hotels","0911","All motel-hotel risks",10
"CW","Motels and Hotels","0912","All motel-hotel risks",10
"CW","Motels and Hotels","0913","All motel-hotel risks",10
"CW","Motels and Hotels","0921","All motel-hotel risks",10
"CW","Motels and Hotels","0922","All motel-hotel risks",10
"CW","Motels and Hotels","0923","All motel-hotel risks",10
"CW","Motels and Hotels","0931","All motel-hotel risks",10
"CW","Motels and Hotels","0932","All motel-hotel risks",10
"CW","Motels and Hotels","0933","All motel-hotel risks",10
"CW","Motels and Hotels","0934","All motel-hotel risks",10
"CW","Motels and Hotels","0940","All motel-hotel risks",10
"CW","Motels and Hotels","0951","All motel-hotel risks",10
"CW","Motels and Hotels","0952","All motel-hotel risks",10
"CW","Motels and Hotels","1000","All motel-hotel risks",10
"CW","Motels and Hotels","1051","All motel-hotel risks",10
"CW","Motels and Hotels","1052","All motel-hotel risks",10
"CW","Motels and Hotels","1070","All motel-hotel risks",10
"CW","Motels and Hotels","1150","All motel-hotel risks",10
"CW","Motels and Hotels","1211","All motel-hotel risks",10
"CW","Motels and Hotels","1212","All motel-hotel risks",10
