"StateCode","Page","TableName","ColumnName","DomainTableName","RelatedField","RelatedXPath","Status"
"CW","Business Income From Dependent Properties - Limited Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Business Income From Dependent Properties - Limited Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormSpclClassBusnIncomeDetail","ExtendedPeriodApply","ExtendedPeriodBusnIncomeFromDependentProp","","../../../../@ExtendedPeriod","A"
"CW","Business Income - Landlord As Additional Insured (Rental Value)","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncome","CauseOfLoss","CauseOfLossBusnIncome","CovType","","A"
"CW","Business Income - Landlord As Additional Insured (Rental Value)","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValueSpclClassBusnIncome","CauseOfLoss","CauseOfLossBusnIncome","","../../@IncludedInBlkt","A"
"CW","Civil Authority Change","CommercialPropertyCivilAuthorityIncreasedCoveragePeriodSpclClassBusnIncome","IncreasedCoveragePeriod","CivilAuthorityIncreasedCoveragePeriod","","../../@MaxPeriod","A"
"CW","Extra Expense From Dependent Properties Limited International Coverage Detail","CommercialPropertyExtraExpenseFromDependentPropertiesLimitedInternationalCovSpclClassBusnIncomeDetail","ContributingLocations","LimitContributingLocations","TypeOfDependentProp","","A"
"CW","Extra Expense From Dependent Properties Limited International Coverage Detail","CommercialPropertyExtraExpenseFromDependentPropertiesLimitedInternationalCovSpclClassBusnIncomeDetail","ManufacturingLocations","LimitManufacturingLocations","TypeOfDependentProp","","A"
"CW","Extra Expense From Dependent Properties Detail","CommercialPropertyExtraExpenseFromDependentPropertiesSpclClassBusnIncomeDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementSpclClassBusnIncome","IncludedInBlkt","IncludedInBlkt","","../../../../../../../../@FloodCovEndtBlktIndicator","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementSpclClassBusnIncome","BlanketIDNum","BlktIDNum","IncludedInBlkt","","A"
"CW","Mining Properties - Business Income","CommercialPropertyMiningPropertiesSpclClassBusnIncome","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Payroll Limitation Or Exclusion","CommercialPropertyOrdinaryPayrollLimitationOrExclusionSpclClassBusnIncome","NumOfDays","OrdinaryPayrollNumberOfDays","PayrollExcl","","A"
"CW","Pier And Wharf Additional Covered Causes Of Loss","CommercialPropertyPierAndWharfAdditionalCoveredCausesOfLossSpclClassBusnIncome","ConstructionOptionConverted","WatercraftExclBuybackConstrctnOptionsConverted","Construction","","A"
"CW","Pier And Wharf Additional Covered Causes Of Loss","CommercialPropertyPierAndWharfAdditionalCoveredCausesOfLossSpclClassBusnIncome","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpclClassBusnIncome","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@CauseOfLoss","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpclClassBusnIncome","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@BlktCauseOfLossValue","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpclClassBusnIncome","Limit","LimitRadioactiveContaminationNonBldg","","../../@IncludedInBlkt","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationSpclClassBusnIncome","Limit","LimitRadioactiveContaminationNonBldg","","../../@BlktRadioactiveContaminationValue","A"
"CW","Utility Services - Time Element Detail","CommercialPropertyUtilityServicesTimeElementSpclClassBusnIncomeDetail","EQCovIndicator","EQCoverageUtilityService","","../../../../@EQCovIndicator","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CovType","CovFormBusnIncome","","../../../../../../@PolicyType","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","IncludedInBlkt","IncludedInBlktBusnIncome","","../../../../../../@BlktRated","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","IncludedInBlkt","IncludedInBlktBusnIncome","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","BlktIDNum","BlktIDNum","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","EQCovIndicator","EQCovIndicatorBusnIncome","","../../../../../../@EQSubLimitBlktIndicator","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","EQCovIndicator","EQCovIndicatorBusnIncome","","../../../../../../@BlktRated","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","EQCovIndicator","EQCovIndicatorBusnIncome","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","EQCovIndicator","EQCovIndicatorBusnIncome","","../../../../@EQCauseOfLossForm","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","EQCauseOfLossCovBlktIDNum","EQCauseOfLossCovBlktIDNum","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Limit","LimitRange","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Limit","LimitRange","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","FullBusnIncomeValue","FullValueRange","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","FullBusnIncomeValue","FullValueRange","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CauseOfLoss","CauseOfLossBusnIncome","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CauseOfLoss","CauseOfLossBusnIncome","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","TypeOfRisk","TypeOfRisk","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","TypeOfRisk","TypeOfRisk","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CombinedTypeOfRiskManufacturingPct","CombinedTypeOfRiskManufacturingPct","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CombinedTypeOfRiskMercantilePct","CombinedTypeOfRiskMercantilePct","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","CombinedTypeOfRiskEducationalPct","CombinedTypeOfRiskEducationalPct","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MaxPeriod","MaxPeriod","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MaxPeriod","MaxPeriod","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MaxPeriod","MaxPeriod","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MaxPeriod","MaxPeriod","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MonthlyLimitOfIndemnity","MonthlyLimitOfIndemnity","MaxPeriod","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MonthlyLimitOfIndemnity","MonthlyLimitOfIndemnity","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MonthlyLimitOfIndemnity","MonthlyLimitOfIndemnity","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","MonthlyLimitOfIndemnity","MonthlyLimitOfIndemnity","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","ExtendedPeriod","ExtendedPeriod","MonthlyLimitOfIndemnity","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","ExtendedPeriod","ExtendedPeriod","MaxPeriod","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","ExtendedPeriod","ExtendedPeriod","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","ExtendedPeriodApplies","ExtendedPeriodApplies","ExtendedPeriod","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","AgreedValueOption","AgreedValueBusnIncome","MaxPeriod","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","AgreedValueOption","AgreedValueBusnIncome","MonthlyLimitOfIndemnity","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","AgreedValueOption","AgreedValueBusnIncome","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","AgreedValueOption","AgreedValueBusnIncome","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","AgreedValueOption","AgreedValueBusnIncome","IncludedInBlkt","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Coinsurance","CoinsuranceBusnIncome","EQCovIndicator","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Coinsurance","CoinsuranceBusnIncome","TypeOfRisk","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Coinsurance","CoinsuranceBusnIncome","AgreedValueOption","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Coinsurance","CoinsuranceBusnIncome","CauseOfLoss","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","Coinsurance","CoinsuranceBusnIncome","ExtendedPeriodApplies","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","ExtraExpenseLimitOnLossPayment","ExtraExpnLimitOnLossPymts","CovType","","A"
"CW","Special Class Business Income Detail","CommercialPropertySpecialClassBusnIncome","WatercraftExclBuybackConstrctnOption","WatercraftExclBuybackConstrctnOptionTimeElement","WaterFrontProperty","","A"
"CW","Utility Services - Direct Damage Detail","CommercialPropertyUtilityServicesDirectDamageSpecialClassDetail","CauseOfLoss","CauseOfLossByPolicyType4OptionalForms","","../../../../@CauseOfLoss","A"
"CW","Utility Services - Direct Damage Detail","CommercialPropertyUtilityServicesDirectDamageSpecialClassDetail","CauseOfLoss","CauseOfLossByPolicyType4OptionalForms","","../../../../@BlktCauseOfLossValue","A"
"CW","Utility Services - Direct Damage Detail","CommercialPropertyUtilityServicesDirectDamageSpecialClassDetail","CauseOfLoss","CauseOfLossByPolicyType4OptionalForms","","../../../../../../../../@PolicyType","A"
"CW","Utility Services - Direct Damage Detail","CommercialPropertyUtilityServicesDirectDamageSpecialClassDetail","EQCovIndicator","EQCoverageUtilityService","","../../../../@EQCovIndicator","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","CovForm","CovFormSpecialClass","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","SpecialClassDescConvertedOption","SpecialClassDescConvertedOption","ClassDescription","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","ClassCode","SpecialClassCode","ClassDescription","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","BasicGroupIISymbol","SpecialClassBasicGroupIISymbol","ClassDescription","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","BasicGroupIISymbolNum","SpecialClassBasicGroupIINum","ClassDescription","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","IncludedInBlkt","IncludedInBlktSpecialClass","","../../../../@BlktRated","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","BlktIDNum","BlktIDNum","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","MarginClause","MarginClause","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQClass","EQClassSpecialClass","StructDesc","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQDeductible","EarthquakeDeductible","","../../@EQCauseOfLossForm","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQDeductible","EarthquakeDeductible","EQClass","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCovIndicator","EQCovIndicatorSpecialClass","","../../../../@EQSubLimitBlktIndicator","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCovIndicator","EQCovIndicatorSpecialClass","","../../../../@BlktRated","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCovIndicator","EQCovIndicatorSpecialClass","","../../@EQCauseOfLossForm","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCauseOfLossCovBlktIDNum","EQCauseOfLossCovBlktIDNum","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Limit","LimitRange","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Limit","LimitRange","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","FullSpecialClassValue","FullValueSpecial","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","FullSpecialClassValue","FullValueSpecial","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","FullSpecialClassValue","FullValueSpecial","","../../@FloodCovIndicator","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","CauseOfLoss","CauseOfLossSpecialClass","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","CauseOfLoss","CauseOfLossSpecialClass","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","TheftDeductible","TheftDeductibleSpecialClass","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","TheftDeductible","TheftDeductibleSpecialClass","CauseOfLoss","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","ValuationType","ValuationTypeSpecialClass","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","AgreedValueOption","AgreedValueBldg","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","AgreedValueOption","AgreedValueBldg","ValuationType","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","AgreedValueOption","AgreedValueBldg","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","AgreedValueOption","AgreedValueBldg","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Coinsurance","CoinsuranceSpecialClass","IncludedInBlkt","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Coinsurance","CoinsuranceSpecialClass","AgreedValueOption","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Coinsurance","CoinsuranceSpecialClass","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Coinsurance","CoinsuranceSpecialClass","ValuationType","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","Coinsurance","CoinsuranceSpecialClass","CauseOfLoss","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCoinsurance","EQCoinsurance","Coinsurance","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCoinsurance","EQCoinsurance","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","EQCoinsurance","EQCoinsurance","","../../@EQCauseOfLossForm","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","InflationGuard","InflationGuardPct","","../../../../@PolicyType","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","InflationGuard","InflationGuardPct","EQCovIndicator","","A"
"CW","Special Class Detail","CommercialPropertySpecialClass","InflationGuard","InflationGuardPct","IncludedInBlkt","","A"
"CW","Additional Covered Property Detail","CommercialPropertyAdditionalCoveredPropertyDetail","WatercraftExclBuybackConstrctnOption","WatercraftExclBuybackConstrctnOptionBldg","Type","","A"
"CW","Builders Risk - Collapse During Construction","CommercialPropertyBuildersRiskCollapseDuringConstruction","CollapseOptionConverted","BldrsRiskCollapseDuringConstrctnOptionConverted","CollapseOption","","A"
"CW","Builders Risk Renovations","CommercialPropertyBuildersRiskRenovations","TentativeGroupIRate","BuildersRiskTentativeGroupIRate","RatingType","","A"
"CW","Builders Risk Renovations","CommercialPropertyBuildersRiskRenovations","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Builders Risk Renovations","CommercialPropertyBuildersRiskRenovations","ConstructionCode","ConstructionCode","ConstructionTypeToUse","","A"
"CW","Builders Risk Reporting Form","CommercialPropertyBuildersRiskReportingForm","TentativeGroupIRate","BuildersRiskTentativeGroupIRate","","../../@RatingType","A"
"CW","Burglary And Robbery Protective Safeguards","CommercialPropertyBurglaryAndRobberyProtectiveSafeguards","BurglaryAlarmCreditFactor","BurglaryAlarmCreditFactorRange","BurglaryAlarmSystemType","","A"
"CW","Burglary And Robbery Protective Safeguards","CommercialPropertyBurglaryAndRobberyProtectiveSafeguards","BurgRobbery3ConvertedCode","BurgRobbery3ConvertedCode","TypeOfWatchmanSrvc","","A"
"CW","Business Income Changes - Educational Institutions","CommercialPropertyBusinessIncomeChangesEducationalInstitutions","NumOfMonths","ExtOfRecoveryNumOfMonths","ExtensionOfRecoveryPeriodOption","","A"
"CW","Business Income From Dependent Properties - Broad Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Business Income From Dependent Properties - Broad Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesBroadFormDetail","ExtendedPeriodApply","ExtendedPeriodBusnIncomeFromDependentProp","","../../../../@ExtendedPeriod","A"
"CW","Business Income From Dependent Properties - Limited Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Business Income From Dependent Properties - Limited Form Detail","CommercialPropertyBusinessIncomeFromDependentPropertiesLimitedFormDetail","ExtendedPeriodApply","ExtendedPeriodBusnIncomeFromDependentProp","","../../../../@ExtendedPeriod","A"
"CW","Business Income - Landlord As Additional Insured (Rental Value)","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValue","CauseOfLoss","CauseOfLossBusnIncome","","../../@IncludedInBlkt","A"
"CW","Business Income - Landlord As Additional Insured (Rental Value)","CommercialPropertyBusinessIncomeLandlordAsAdditionalInsuredRentalValue","CauseOfLoss","CauseOfLossBusnIncome","CovType","","A"
"CW","Civil Authority Change","CommercialPropertyCivilAuthorityIncreasedCoveragePeriod","IncreasedCoveragePeriod","CivilAuthorityIncreasedCoveragePeriod","","../../@MaxPeriod","A"
"CW","Extra Expense From Dependent Properties Detail","CommercialPropertyExtraExpenseFromDependentPropertiesDetail","ConstructionTypeToUse","ConstructionTypeToUse","ConstructionType","","A"
"CW","Extra Expense From Dependent Properties Limited International Coverage Detail","CommercialPropertyExtraExpenseFromDependentPropertiesLimitedInternationalCovDetail","ContributingLocations","LimitContributingLocations","TypeOfDependentProp","","A"
"CW","Extra Expense From Dependent Properties Limited International Coverage Detail","CommercialPropertyExtraExpenseFromDependentPropertiesLimitedInternationalCovDetail","ManufacturingLocations","LimitManufacturingLocations","TypeOfDependentProp","","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementBusnIncome","IncludedInBlkt","IncludedInBlkt","","../../../../../../../../@FloodCovEndtBlktIndicator","A"
"CW","Flood Coverage Endorsement","CommercialPropertyFloodCoverageEndorsementBusnIncome","BlanketIDNum","BlktIDNum","IncludedInBlkt","","A"
"CW","Mining Properties - Business Income","CommercialPropertyMiningPropertiesBusinessIncome","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Molten Material","CommercialPropertyMoltenMaterialBusnIncome","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Payroll Limitation Or Exclusion","CommercialPropertyOrdinaryPayrollLimitationOrExclusion","NumOfDays","OrdinaryPayrollNumberOfDays","PayrollExcl","","A"
"CW","Pier And Wharf Additional Covered Causes Of Loss","CommercialPropertyPierAndWharfAdditionalCoveredCausesOfLoss","ConstructionOptionConverted","WatercraftExclBuybackConstrctnOptionsConverted","Construction","","A"
"CW","Pier And Wharf Additional Covered Causes Of Loss","CommercialPropertyPierAndWharfAdditionalCoveredCausesOfLoss","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationBusnIncome","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@BlktCauseOfLossValue","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationBusnIncome","TypeOfCov","RadioactiveContaminationTypeOfCov","","../../@CauseOfLoss","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationBusnIncome","Limit","LimitRadioactiveContaminationNonBldg","","../../@IncludedInBlkt","A"
"CW","Radioactive Contamination","CommercialPropertyRadioactiveContaminationBusnIncome","Limit","LimitRadioactiveContaminationNonBldg","","../../@BlktRadioactiveContaminationValue","A"
"CW","Radio Or Television Antennas - Business Income Or Extra Expense","CommercialPropertyRadioOrTelevisionAntennasBusinessIncomeOrExtraExpense","Limit","LimitBIOptionalForm","","../../@IncludedInBlkt","A"
"CW","Utility Services - Time Element Detail","CommercialPropertyUtilityServicesTimeElementDetail","EQCovIndicator","EQCoverageUtilityService","","../../../../@EQCovIndicator","A"
"CW","Business Income Detail","CommercialPropertyBusinessIncome","CovType","CovFormBusnIncome","","../../../../../../@PolicyType","A"
"CW","Business Income Detail","CommercialPropertyBusinessIncome","IncludedInBlkt","IncludedInBlktBusnIncome","CovType","","A"
