"StateCode","PolicyType","CovForm","CovTypePrsnlProp","IncludedInBlktPrsnlProp","EQCovIndicatorPrsnlProp","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Fixtures","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Furniture","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Machinery and Equipment","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Non-Owned Trailers","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property of Others","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Property Other than Categories Listed Above","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Stock","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","No Coverage","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Not Included in Blanket","Functional Valuation","Functional Valuation"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Tenants Improvements and Betterments","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Building and Personal Property Coverage Form","Valuable Papers and Records - Other Than Electronic Data","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Class Rated Building Only, No Personal Property Coverage","Not Applicable","Not Applicable","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","No","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","Yes, Not Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","All Personal Property","Yes","Yes, Not Included in Blanket","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No Coverage","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No Coverage","Replacement Cost","Replacement Cost"
"CW","Commercial Property Policy","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Included in Blanket","Actual Cash Value","Actual Cash Value"
"CW","Commercial Property Policy","Condominium Association Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","Yes, Included in Blanket","Replacement Cost","Replacement Cost"
