"StateCode","CovFormBusnIncome","TypeOfRisk","IncludedInBlktBusnIncome","EQCovIndicatorBusnIncome","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","Mining","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mining","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Mining","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Rental Properties","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Rental Properties","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Seasonal Leases with Monthly Limit","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Seasonal Leases with Monthly Limit","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Seasonal Leases with Monthly Limit","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Educational Institutions","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Mining","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Rental Properties","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Rental Properties","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Seasonal Leases with Monthly Limit","No","No Coverage","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Seasonal Leases with Monthly Limit","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income Without Extra Expense","Seasonal Leases with Monthly Limit","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","No","No Coverage","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Extra Expense Only","Not Applicable","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Manufacturing","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Manufacturing","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Manufacturing","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Manufacturing","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Rental Properties","No","No Coverage","No","No"
"CW","Business Income With Extra Expense","Rental Properties","No","Yes, Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Rental Properties","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Rental Properties","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Manufacturing","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Manufacturing","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Manufacturing","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Manufacturing","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Rental Properties","No","No Coverage","No","No"
"CW","Business Income Without Extra Expense","Rental Properties","No","Yes, Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Rental Properties","No","Yes, Not Included in Blanket","No","No"
"CW","Business Income Without Extra Expense","Rental Properties","Yes","Yes, Not Included in Blanket","No","No"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Manufacturing","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Manufacturing","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Manufacturing","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Manufacturing","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Rental Properties","No","No Coverage","Yes","Yes"
"CW","Business Income With Extra Expense","Rental Properties","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Rental Properties","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income With Extra Expense","Rental Properties","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Manufacturing","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Manufacturing","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Manufacturing","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Manufacturing","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Rental Properties","No","No Coverage","Yes","Yes"
"CW","Business Income Without Extra Expense","Rental Properties","No","Yes, Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Rental Properties","No","Yes, Not Included in Blanket","Yes","Yes"
"CW","Business Income Without Extra Expense","Rental Properties","Yes","Yes, Not Included in Blanket","Yes","Yes"
"CW","Not Applicable","Not Applicable","No","No Coverage","No","No"
