"StateCode","CovForm","EQCauseOfLossForm","EQSubLimitBlktIndicator","BlktRated","DisplayValue","DataValue"
"CW","Building and Personal Property Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building and Personal Property Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building and Personal Property Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Building and Personal Property Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building and Personal Property Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building and Personal Property Coverage Form","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Building and Personal Property Coverage Form","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Building and Personal Property Coverage Form","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Building and Personal Property Coverage Form","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association Coverage Form","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association Coverage Form","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Commercial Unit Owners Coverage","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Condominium Commercial Unit Owners Coverage","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability Coverage Form","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability Coverage Form","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Standard Property Policy","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Standard Property Policy","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Standard Property Policy","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Standard Property Policy","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Tobacco Sales Warehouse Coverage Form","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
