"StateCode","CovForm","RatingType","DisplayValue","DataValue"
"CW","Legal Liability Coverage Form","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Legal Liability Coverage Form","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Legal Liability Coverage Form","Tentative","None","None"
"CW","Legal Liability Coverage Form","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Legal Liability Coverage Form","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Legal Liability Coverage Form","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Class Rated Building Only, No Personal Property Coverage","Class","Not Applicable","Not Applicable"
"CW","Class Rated Building Only, No Personal Property Coverage","Specific","Not Applicable","Not Applicable"
"CW","Class Rated Building Only, No Personal Property Coverage","Tentative","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Class","None","None"
"CW","Standard Property Policy","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Standard Property Policy","Specific","None","None"
"CW","Standard Property Policy","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Standard Property Policy","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Standard Property Policy","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Standard Property Policy","Tentative","None","None"
"CW","Standard Property Policy","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Standard Property Policy","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Standard Property Policy","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Tobacco Sales Warehouse Coverage Form","Class","None","None"
"CW","Tobacco Sales Warehouse Coverage Form","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Tobacco Sales Warehouse Coverage Form","Specific","None","None"
"CW","Tobacco Sales Warehouse Coverage Form","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Tobacco Sales Warehouse Coverage Form","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Tobacco Sales Warehouse Coverage Form","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Tobacco Sales Warehouse Coverage Form","Tentative","None","None"
"CW","Tobacco Sales Warehouse Coverage Form","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Tobacco Sales Warehouse Coverage Form","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Tobacco Sales Warehouse Coverage Form","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Condominium Association Coverage Form","Class","None","None"
"CW","Condominium Association Coverage Form","Class","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Association Coverage Form","Specific","None","None"
"CW","Condominium Association Coverage Form","Specific","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Association Coverage Form","Specific","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Condominium Association Coverage Form","Specific","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
"CW","Condominium Association Coverage Form","Tentative","None","None"
"CW","Condominium Association Coverage Form","Tentative","Sprinklered Building, but Not Rated as Sprinklered","Sprinklered Building, but Not Rated as Sprinklered"
"CW","Condominium Association Coverage Form","Tentative","Rated as Sprinklered; <50% of Value Exposed to Sprinklers","Rated as Sprinklered; <50% of Value Exposed to Sprinklers"
"CW","Condominium Association Coverage Form","Tentative","Rated as Sprinklered; >50% of Value Exposed to Sprinklers","Rated as Sprinklered; >50% of Value Exposed to Sprinklers"
