"StateCode","RatingType","ClassCodeBldg","DisplayValue","DataValue"
"CW","Class","0532","Beverage Distributors - Nonalcoholic beverages (and beer if not primary)","Beverage Distributors - Nonalcoholic beverages (and beer if not primary)"
"CW","Class","0532","Beverage Stores - Nonalcoholic beverages (and beer if not principal stock)","Beverage Stores - Nonalcoholic beverages (and beer if not principal stock)"
"CW","Class","0532","Candy or Confectionery Products - Stores","Candy or Confectionery Products - Stores"
"CW","Class","0532","Convenience Food Stores","Convenience Food Stores"
"CW","Class","0532","Dairy Products or Butter and Egg Stores","Dairy Products or Butter and Egg Stores"
"CW","Class","0532","Delicatessens - Without cooking","Delicatessens - Without cooking"
"CW","Class","0532","Food Products - Sales, Storage and Distributors - No baking or cooking","Food Products - Sales, Storage and Distributors - No baking or cooking"
"CW","Class","0532","Frozen Food - distributors","Frozen Food - distributors"
"CW","Class","0532","Fruit or Vegetable Dealers or Distributors","Fruit or Vegetable Dealers or Distributors"
"CW","Class","0532","Grocery Distributors","Grocery Distributors"
"CW","Class","0532","Grocery Stores","Grocery Stores"
"CW","Class","0532","Health or Natural Food Stores","Health or Natural Food Stores"
"CW","Class","0532","Ice Cream Stores - No cooking","Ice Cream Stores - No cooking"
"CW","Class","0532","Meat, Fish, Poultry or Seafood - Distributors","Meat, Fish, Poultry or Seafood - Distributors"
"CW","Class","0532","Meat, Fish, Poultry or Seafood - Stores","Meat, Fish, Poultry or Seafood - Stores"
"CW","Class","0532","Produce - Storage","Produce - Storage"
"CW","Class","0532","Restaurants - No cooking","Restaurants - No cooking"
"CW","Class","0532","Supermarkets","Supermarkets"
"CW","Class","0532","Warehouses - Cold individual storage lockers","Warehouses - Cold individual storage lockers"
"CW","Class","0533","Bakeries - Baking on premises - no delivery to other outlets","Bakeries - Baking on premises - no delivery to other outlets"
"CW","Class","0534","Food Products - Sales, Storage and Distributors - Limited cooking (other than bakeries)","Food Products - Sales, Storage and Distributors - Limited cooking (other than bakeries)"
"CW","Class","0541","Bars and Taverns","Bars and Taverns"
"CW","Class","0545","Restaurants - With limited cooking","Restaurants - With limited cooking"
"CW","Class","0550","Automobile Distributors - showrooms with no repair or service","Automobile Distributors - showrooms with no repair or service"
"CW","Class","0550","Boat Dealers - sales and/or storage with or without repair","Boat Dealers - sales and/or storage with or without repair"
"CW","Class","0550","Boat Storage and Moorage - In buildings","Boat Storage and Moorage - In buildings"
"CW","Class","0550","Boats - canoes or rowboats without motors - rental with storage","Boats - canoes or rowboats without motors - rental with storage"
"CW","Class","0550","Camper or Travel Trailers without Motors; Motor Homes - Sales only","Camper or Travel Trailers without Motors; Motor Homes - Sales only"
"CW","Class","0561","Boat and Marine Supply Stores","Boat and Marine Supply Stores"
"CW","Class","0562","Drug Distributors","Drug Distributors"
"CW","Class","0562","Drugstores","Drugstores"
"CW","Class","0562","Mail Order or Online Drugstores","Mail Order or Online Drugstores"
"CW","Class","0563","Air Conditioning Equipment - dealers or distributors only - sales and/or storage with or without repair","Air Conditioning Equipment - dealers or distributors only - sales and/or storage with or without repair"
"CW","Class","0563","Appliance Distributors - other than radios, TV's, compact disc and DVD players (with or without repair) - household type","Appliance Distributors - other than radios, TV's, compact disc and DVD players (with or without repair) - household type"
"CW","Class","0563","Appliance Stores - other than radios, TV's, compact disc and DVD players (with or without repair) - household type","Appliance Stores - other than radios, TV's, compact disc and DVD players (with or without repair) - household type"
"CW","Class","0563","Concrete Construction - contractors storage facilities - Electrical, plumbing, heating, air conditioning or sheet metal storage","Concrete Construction - contractors storage facilities - Electrical, plumbing, heating, air conditioning or sheet metal storage"
"CW","Class","0563","Contractors Equipment - heavy machinery without motors over 6 horsepower - Without repair","Contractors Equipment - heavy machinery without motors over 6 horsepower - Without repair"
"CW","Class","0563","Electrical and Lighting Stores","Electrical and Lighting Stores"
"CW","Class","0563","Electrical Apparatus - Installation, servicing or repair - With sales or storage","Electrical Apparatus - Installation, servicing or repair - With sales or storage"
"CW","Class","0563","Electrical Equipment Distributors - Sales or storage with or without repair or service","Electrical Equipment Distributors - Sales or storage with or without repair or service"
"CW","Class","0563","Elevator or Escalator Equipment sales or storage, with or without repair","Elevator or Escalator Equipment sales or storage, with or without repair"
"CW","Class","0563","Farm Machinery - contractors storage","Farm Machinery - contractors storage"
"CW","Class","0563","Gas Dealers or Distributors - Hardware sales and storage","Gas Dealers or Distributors - Hardware sales and storage"
"CW","Class","0563","Hardware and Tool Distributors, and Hardware Stores","Hardware and Tool Distributors, and Hardware Stores"
"CW","Class","0563","Heating or Combined Heating and Air Conditioning Equipment - dealers or distributors with or without installation, servicing or","Heating or Combined Heating and Air Conditioning Equipment - dealers or distributors with or without installation, servicing or"
"CW","Class","0563","Machinery or Equipment Dealers - No repair","Machinery or Equipment Dealers - No repair"
"CW","Class","0563","Office Machines or Appliances - Retail or wholesale - no repair","Office Machines or Appliances - Retail or wholesale - no repair"
"CW","Class","0563","Plumbing - contractors storage - Commercial and industrial","Plumbing - contractors storage - Commercial and industrial"
"CW","Class","0563","Plumbing - contractors storage - Residential or domestic","Plumbing - contractors storage - Residential or domestic"
"CW","Class","0563","Plumbing Supplies and Fixtures Dealers and Distributors","Plumbing Supplies and Fixtures Dealers and Distributors"
"CW","Class","0563","Refrigeration Equipment - contractors storage","Refrigeration Equipment - contractors storage"
"CW","Class","0563","Refrigeration Systems or Equipment - Dealers and distributors - commercial - sales and storage with or without repair","Refrigeration Systems or Equipment - Dealers and distributors - commercial - sales and storage with or without repair"
"CW","Class","0563","Solar Energy Contractors - contractors storage","Solar Energy Contractors - contractors storage"
"CW","Class","0563","Vending Machines - Sales with or without storage","Vending Machines - Sales with or without storage"
"CW","Class","0564","Antique Stores","Antique Stores"
"CW","Class","0564","Equipment, Fixtures or Supplies - for bars, hotels, offices, restaurants or stores - distributors - With furniture","Equipment, Fixtures or Supplies - for bars, hotels, offices, restaurants or stores - distributors - With furniture"
"CW","Class","0564","Furniture Stores","Furniture Stores"
"CW","Class","0564","Home Furnishings Stores - other than appliances","Home Furnishings Stores - other than appliances"
"CW","Class","0564","Mattress or Box Spring - Sales outlets","Mattress or Box Spring - Sales outlets"
"CW","Class","0564","Pawn Shops","Pawn Shops"
"CW","Class","0564","Secondhand Goods Dealers and Distributors - sales or storage","Secondhand Goods Dealers and Distributors - sales or storage"
"CW","Class","0565","Gemstone Cutting or Polishing","Gemstone Cutting or Polishing"
"CW","Class","0565","Jewelry Stores or Distributors","Jewelry Stores or Distributors"
"CW","Class","0566","Sporting Goods or Athletic Equipment - Distributors","Sporting Goods or Athletic Equipment - Distributors"
"CW","Class","0566","Sporting Goods or Athletic Equipment - Stores","Sporting Goods or Athletic Equipment - Stores"
"CW","Class","0567","Airports - Passenger terminals","Airports - Passenger terminals"
"CW","Class","0567","Alarms and Alarm Systems - Sales or storage with or without installation, servicing or repair","Alarms and Alarm Systems - Sales or storage with or without installation, servicing or repair"
"CW","Class","0567","Appliance Distributors and Stores - radios, TV's, compact disc and/or DVD players only (with or without repair) - household type","Appliance Distributors and Stores - radios, TV's, compact disc and/or DVD players only (with or without repair) - household type"
"CW","Class","0567","Army and Navy Stores","Army and Navy Stores"
"CW","Class","0567","Art Galleries - Commercial","Art Galleries - Commercial"
"CW","Class","0567","Barber or Beauty Shop Supplies Distributors","Barber or Beauty Shop Supplies Distributors"
"CW","Class","0567","Beach Chairs and Umbrellas - warehouses, storage or sales","Beach Chairs and Umbrellas - warehouses, storage or sales"
"CW","Class","0567","Bicycle Stores - Sales only","Bicycle Stores - Sales only"
"CW","Class","0567","Bone, Horn and Ivory Products - Sales and/or storage","Bone, Horn and Ivory Products - Sales and/or storage"
"CW","Class","0567","Book Distributors","Book Distributors"
"CW","Class","0567","Books and Magazines Stores","Books and Magazines Stores"
"CW","Class","0567","Building Structure - raising or moving - contractors storage or sale outlet","Building Structure - raising or moving - contractors storage or sale outlet"
"CW","Class","0567","Bus Stations or Terminals","Bus Stations or Terminals"
"CW","Class","0567","Caisson or Cofferdam Work - contractors storage","Caisson or Cofferdam Work - contractors storage"
"CW","Class","0567","Camera and Photographic Equipment Stores","Camera and Photographic Equipment Stores"
"CW","Class","0567","Carpentry - Contractors storage","Carpentry - Contractors storage"
"CW","Class","0567","Carpet, Rug, Furniture or Upholstery Cleaning - storage of cleaning equipment and supplies","Carpet, Rug, Furniture or Upholstery Cleaning - storage of cleaning equipment and supplies"
"CW","Class","0567","Catalog or Premium Coupon Redemption Stores","Catalog or Premium Coupon Redemption Stores"
"CW","Class","0567","Ceiling or Wall Installation - metal - contractors storage","Ceiling or Wall Installation - metal - contractors storage"
"CW","Class","0567","Ceramics - Sales and/or storage only","Ceramics - Sales and/or storage only"
"CW","Class","0567","Chairs - rented to others - storage","Chairs - rented to others - storage"
"CW","Class","0567","Chimney Cleaning - contractors storage","Chimney Cleaning - contractors storage"
"CW","Class","0567","Cleaning - outside surfaces of buildings and other exterior surfaces - contractors storage","Cleaning - outside surfaces of buildings and other exterior surfaces - contractors storage"
"CW","Class","0567","Clothing or Wearing Apparel - Distributors","Clothing or Wearing Apparel - Distributors"
"CW","Class","0567","Collectibles and Memorabilia Stores","Collectibles and Memorabilia Stores"
"CW","Class","0567","Communication Equipment Installation - industrial or commercial - Sales and/or storage with no repair","Communication Equipment Installation - industrial or commercial - Sales and/or storage with no repair"
"CW","Class","0567","Concrete Construction - contractors storage facilities - Other than electrical, plumbing, heating, air conditioning or sheet met","Concrete Construction - contractors storage facilities - Other than electrical, plumbing, heating, air conditioning or sheet met"
"CW","Class","0567","Contractors NOC - equipment storage","Contractors NOC - equipment storage"
"CW","Class","0567","Copying and Duplicating Equipment - Sales with or without repair","Copying and Duplicating Equipment - Sales with or without repair"
"CW","Class","0567","Cosmetic, Hair or Skin Preparation Stores","Cosmetic, Hair or Skin Preparation Stores"
"CW","Class","0567","Crop Spraying - contractors storage - Mixed storage","Crop Spraying - contractors storage - Mixed storage"
"CW","Class","0567","Department or Discount Stores","Department or Discount Stores"
"CW","Class","0567","Door, Window or Assembled Millwork - installation - metal or wood","Door, Window or Assembled Millwork - installation - metal or wood"
"CW","Class","0567","Dry Goods Dealers - Retail (Including Fabrics, Yarn and Piece Goods)","Dry Goods Dealers - Retail (Including Fabrics, Yarn and Piece Goods)"
"CW","Class","0567","Dry Wall or Wallboard Installation - contractors storage","Dry Wall or Wallboard Installation - contractors storage"
"CW","Class","0567","Equipment, Fixtures or Supplies - for bars, hotels, offices, restaurants or stores - distributors - Without furniture","Equipment, Fixtures or Supplies - for bars, hotels, offices, restaurants or stores - distributors - Without furniture"
"CW","Class","0567","Feed, Grain or Hay Dealers - Stores with or without occasional grinding; Feed warehouses not on premises of processing plants","Feed, Grain or Hay Dealers - Stores with or without occasional grinding; Feed warehouses not on premises of processing plants"
"CW","Class","0567","Fence Dealers","Fence Dealers"
"CW","Class","0567","Fence Erection - contractors storage","Fence Erection - contractors storage"
"CW","Class","0567","Fire Protection Equipment Dealers and Distributors","Fire Protection Equipment Dealers and Distributors"
"CW","Class","0567","Fire Suppression Systems - installation, service or repair - contractors storage","Fire Suppression Systems - installation, service or repair - contractors storage"
"CW","Class","0567","Floor Covering Distributors","Floor Covering Distributors"
"CW","Class","0567","Floor Covering Installation (other than ceramic tile or stone) - contractors storage","Floor Covering Installation (other than ceramic tile or stone) - contractors storage"
"CW","Class","0567","Floor Covering Stores - Tiles, linoleum or mixed merchandise","Floor Covering Stores - Tiles, linoleum or mixed merchandise"
"CW","Class","0567","Fuel Oil or Kerosene Dealers","Fuel Oil or Kerosene Dealers"
"CW","Class","0567","Fuel Oil or Kerosene Distributors","Fuel Oil or Kerosene Distributors"
"CW","Class","0567","Gardening and Light Farming Supply Distributors and Retail Dealers","Gardening and Light Farming Supply Distributors and Retail Dealers"
"CW","Class","0567","Gift Shops","Gift Shops"
"CW","Class","0567","Glass Dealers and Glaziers - No grinding, polishing or glazing; or up to 5 employees engaged in such operations","Glass Dealers and Glaziers - No grinding, polishing or glazing; or up to 5 employees engaged in such operations"
"CW","Class","0567","Guniting or Shot-crete - contractors storage","Guniting or Shot-crete - contractors storage"
"CW","Class","0567","Hearing Aid - distributors or stores","Hearing Aid - distributors or stores"
"CW","Class","0567","Hobby, Craft or Artists' Supply - stores or distributors","Hobby, Craft or Artists' Supply - stores or distributors"
"CW","Class","0567","Home Improvement Stores","Home Improvement Stores"
"CW","Class","0567","Insulation Work - contractors storage","Insulation Work - contractors storage"
"CW","Class","0567","Irrigation or Drainage System Construction - contractors storage","Irrigation or Drainage System Construction - contractors storage"
"CW","Class","0567","Irrigation Works Operations - contractors storage","Irrigation Works Operations - contractors storage"
"CW","Class","0567","Janitorial Supplies - dealers or distributors","Janitorial Supplies - dealers or distributors"
"CW","Class","0567","Jetty or Breakwater Construction - Contractors Storage","Jetty or Breakwater Construction - Contractors Storage"
"CW","Class","0567","Landscape Gardening - contractors storage","Landscape Gardening - contractors storage"
"CW","Class","0567","Lawn Care Services - contractors storage","Lawn Care Services - contractors storage"
"CW","Class","0567","Leather Goods - Leather goods or hides stores","Leather Goods - Leather goods or hides stores"
"CW","Class","0567","Leather Goods - Finished products - storage or sales","Leather Goods - Finished products - storage or sales"
"CW","Class","0567","Luggage Goods Stores","Luggage Goods Stores"
"CW","Class","0567","Machinery or Equipment - contractors storage - Farm","Machinery or Equipment - contractors storage - Farm"
"CW","Class","0567","Machinery or Equipment - contractors storage - Industrial","Machinery or Equipment - contractors storage - Industrial"
"CW","Class","0567","Mail Order Houses","Mail Order Houses"
"CW","Class","0567","Masonry - contractors storage","Masonry - contractors storage"
"CW","Class","0567","Medical, Hospital and Surgical Supply Stores","Medical, Hospital and Surgical Supply Stores"
"CW","Class","0567","Mercantile NOC - Sole occupant - Risks having moderate susceptibility personal property - Not large area (15,000 sq. ft. or less","Mercantile NOC - Sole occupant - Risks having moderate susceptibility personal property - Not large area (15,000 sq. ft. or less"
"CW","Class","0567","Metal Dealers or Distributors - Other metal products","Metal Dealers or Distributors - Other metal products"
"CW","Class","0567","Museums - Commercial","Museums - Commercial"
"CW","Class","0567","Musical Instrument - Stores","Musical Instrument - Stores"
"CW","Class","0567","Music Stores - Sheet music","Music Stores - Sheet music"
"CW","Class","0567","Newspaper or Magazine Distributors","Newspaper or Magazine Distributors"
"CW","Class","0567","Newsstands","Newsstands"
"CW","Class","0567","Oil or Gas Well Supplies or Equipment Dealers","Oil or Gas Well Supplies or Equipment Dealers"
"CW","Class","0567","Oil Rig or Derrick Erecting or Dismantling -Contractors equipment storage","Oil Rig or Derrick Erecting or Dismantling -Contractors equipment storage"
"CW","Class","0567","Oil Still Erection or Repair - Contractors equipment storage","Oil Still Erection or Repair - Contractors equipment storage"
"CW","Class","0567","Optical Goods - Distributors and Stores - not addressed above","Optical Goods - Distributors and Stores - not addressed above"
"CW","Class","0567","Paper Products Distributors - Other","Paper Products Distributors - Other"
"CW","Class","0567","Paperhanging - contractors storage","Paperhanging - contractors storage"
"CW","Class","0567","Periodicals Distributors","Periodicals Distributors"
"CW","Class","0567","Pest Control Services - Miscellaneous storage","Pest Control Services - Miscellaneous storage"
"CW","Class","0567","Pile Driving - contractors storage","Pile Driving - contractors storage"
"CW","Class","0567","Pipeline Construction - contractors storage","Pipeline Construction - contractors storage"
"CW","Class","0567","Plastering or Stucco Work - contractors storage","Plastering or Stucco Work - contractors storage"
"CW","Class","0567","Plastic Supply Goods Distributors","Plastic Supply Goods Distributors"
"CW","Class","0567","Powered Equipment Dealers - retail","Powered Equipment Dealers - retail"
"CW","Class","0567","Precision and Scientific Tools and Instruments - retail","Precision and Scientific Tools and Instruments - retail"
"CW","Class","0567","Prefabricated Building Erection - contractors storage","Prefabricated Building Erection - contractors storage"
"CW","Class","0567","Printers or Electrotypers Supplies - distributors","Printers or Electrotypers Supplies - distributors"
"CW","Class","0567","Railroad Construction - contractors storage","Railroad Construction - contractors storage"
"CW","Class","0567","Renovating - outside surfaces of buildings - Contractors equipment storage only","Renovating - outside surfaces of buildings - Contractors equipment storage only"
"CW","Class","0567","Rental Stores","Rental Stores"
"CW","Class","0567","Roofing - contractors storage or sales outlet","Roofing - contractors storage or sales outlet"
"CW","Class","0567","Rubber - sales and/or storage - Other rubber products","Rubber - sales and/or storage - Other rubber products"
"CW","Class","0567","Safe Deposit Companies","Safe Deposit Companies"
"CW","Class","0567","Salvage Operations - contractors storage","Salvage Operations - contractors storage"
"CW","Class","0567","Seed Merchants","Seed Merchants"
"CW","Class","0567","Septic Tank Systems - cleaning, installation, servicing or repair - contractors storage","Septic Tank Systems - cleaning, installation, servicing or repair - contractors storage"
"CW","Class","0567","Sewer Cleaning - contractors storage","Sewer Cleaning - contractors storage"
"CW","Class","0567","Sewer Mains or Connections Construction - contractors storage","Sewer Mains or Connections Construction - contractors storage"
"CW","Class","0567","Sewing Machines - sales outlets or storage buildings not on premises of manufacturer","Sewing Machines - sales outlets or storage buildings not on premises of manufacturer"
"CW","Class","0567","Shaft Sinking - contractors storage","Shaft Sinking - contractors storage"
"CW","Class","0567","Sheet Metal Work - Contractors storage","Sheet Metal Work - Contractors storage"
"CW","Class","0567","Ship Chandler Stores","Ship Chandler Stores"
"CW","Class","0567","Siding Installation - contractors storage (including wood siding)","Siding Installation - contractors storage (including wood siding)"
"CW","Class","0567","Sign Erection, Installation or Repair - Contractors storage","Sign Erection, Installation or Repair - Contractors storage"
"CW","Class","0567","Sign Painting or Lettering - Contractors storage other than paint","Sign Painting or Lettering - Contractors storage other than paint"
"CW","Class","0567","Snow and Ice Removal - contractors storage","Snow and Ice Removal - contractors storage"
"CW","Class","0567","Stationery or Paper Products Distributors or Stores","Stationery or Paper Products Distributors or Stores"
"CW","Class","0567","Steam Mains or Connections Construction - contractors storage","Steam Mains or Connections Construction - contractors storage"
"CW","Class","0567","Steam Pipe or Boiler Insulation - contractors storage","Steam Pipe or Boiler Insulation - contractors storage"
"CW","Class","0567","Street or Road Construction or Reconstruction; Street or Road Paving or Repaving, Surfacing or Resurfacing or Scraping - contrac","Street or Road Construction or Reconstruction; Street or Road Paving or Repaving, Surfacing or Resurfacing or Scraping - contrac"
"CW","Class","0567","Subway Construction - contractors storage","Subway Construction - contractors storage"
"CW","Class","0567","Surveyors - land - contractors storage","Surveyors - land - contractors storage"
"CW","Class","0567","Swimming Pools - Installation, servicing or repair - above and below ground - contractors storage","Swimming Pools - Installation, servicing or repair - above and below ground - contractors storage"
"CW","Class","0567","Swimming Pools - Sales outlets","Swimming Pools - Sales outlets"
"CW","Class","0567","Tank Construction, Installation, Erection or Repair - contractors storage","Tank Construction, Installation, Erection or Repair - contractors storage"
"CW","Class","0567","Telephone, Telegraph or Cable Television Line Construction - contractors storage","Telephone, Telegraph or Cable Television Line Construction - contractors storage"
"CW","Class","0567","Tent or Canvas Goods - contractors storage","Tent or Canvas Goods - contractors storage"
"CW","Class","0567","Tile, Stone, Marble, Mosaic or Terrazzo Work - contractors storage and sales outlets","Tile, Stone, Marble, Mosaic or Terrazzo Work - contractors storage and sales outlets"
"CW","Class","0567","Tobacco Products Distributors","Tobacco Products Distributors"
"CW","Class","0567","Tobacco Products Stores","Tobacco Products Stores"
"CW","Class","0567","Toy - Distributors","Toy - Distributors"
"CW","Class","0567","Toy - Stores","Toy - Stores"
"CW","Class","0567","Tree Pruning, Dusting, Spraying, Repairing, Trimming or Fumigating - Other storage","Tree Pruning, Dusting, Spraying, Repairing, Trimming or Fumigating - Other storage"
"CW","Class","0567","Underpinning Buildings or Structure - contractors storage","Underpinning Buildings or Structure - contractors storage"
"CW","Class","0567","Variety Stores","Variety Stores"
"CW","Class","0567","Water Mains or Connections Construction - contractors storage","Water Mains or Connections Construction - contractors storage"
"CW","Class","0567","Water Softening Equipment - Sales and/or storage, no repair","Water Softening Equipment - Sales and/or storage, no repair"
"CW","Class","0567","Waterproofing - contractors storage","Waterproofing - contractors storage"
"CW","Class","0567","Welding or Cutting - contractors storage","Welding or Cutting - contractors storage"
"CW","Class","0567","Wicker, Rattan, Willow or Twisted Fiber Products - Sales outlets","Wicker, Rattan, Willow or Twisted Fiber Products - Sales outlets"
"CW","Class","0567","Window Cleaning - contractors storage","Window Cleaning - contractors storage"
"CW","Class","0567","Window Decorating - sales and/or storage","Window Decorating - sales and/or storage"
"CW","Class","0567","Wrecking - contractors storage","Wrecking - contractors storage"
"CW","Class","0570","Anhydrous Ammonia Dealers and Distributors","Anhydrous Ammonia Dealers and Distributors"
"CW","Class","0570","Chemical Distributors","Chemical Distributors"
"CW","Class","0570","Clubs - Horseback riding (with or without commercial riding instruction and hiring of horses)","Clubs - Horseback riding (with or without commercial riding instruction and hiring of horses)"
"CW","Class","0570","Computer - Stores","Computer - Stores"
"CW","Class","0570","Crop Spraying - contractors storage - Chemical storage","Crop Spraying - contractors storage - Chemical storage"
"CW","Class","0570","Electronics Store","Electronics Store"
"CW","Class","0570","Fertilizer Dealers and Distributors","Fertilizer Dealers and Distributors"
"CW","Class","0570","Florists - Sales outlets","Florists - Sales outlets"
"CW","Class","0570","Fuel Dealers or Distributors - coal or wood","Fuel Dealers or Distributors - coal or wood"
"CW","Class","0570","Fumigating - contractors storage","Fumigating - contractors storage"
"CW","Class","0570","Gas Dealers or Distributors - LPG sales and storage","Gas Dealers or Distributors - LPG sales and storage"
"CW","Class","0570","Gasoline Distributors","Gasoline Distributors"
"CW","Class","0570","Hatcheries","Hatcheries"
"CW","Class","0570","Hay or Straw - Sales and/or Storage Including Hay/Straw Products","Hay or Straw - Sales and/or Storage Including Hay/Straw Products"
"CW","Class","0570","Kennels - Sales","Kennels - Sales"
