"StateCode","CovForm","CovTypePrsnlProp","BlktRated","DisplayValue","DataValue"
"CW","Standard Property Policy","All Personal Property","No","No","No"
"CW","Standard Property Policy","All Personal Property","Yes","No","No"
"CW","Standard Property Policy","All Personal Property","Yes","Yes","Yes"
"CW","Standard Property Policy","Contents Except Stock","No","No","No"
"CW","Standard Property Policy","Contents Except Stock","Yes","No","No"
"CW","Standard Property Policy","Contents Except Stock","Yes","Yes","Yes"
"CW","Standard Property Policy","Fixtures","No","No","No"
"CW","Standard Property Policy","Fixtures","Yes","No","No"
"CW","Standard Property Policy","Fixtures","Yes","Yes","Yes"
"CW","Standard Property Policy","Furniture","No","No","No"
"CW","Standard Property Policy","Furniture","Yes","No","No"
"CW","Standard Property Policy","Furniture","Yes","Yes","Yes"
"CW","Standard Property Policy","Machinery and Equipment","No","No","No"
"CW","Standard Property Policy","Machinery and Equipment","Yes","No","No"
"CW","Standard Property Policy","Machinery and Equipment","Yes","Yes","Yes"
"CW","Standard Property Policy","Non-Owned Trailers","No","No","No"
"CW","Standard Property Policy","Non-Owned Trailers","Yes","No","No"
"CW","Standard Property Policy","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Standard Property Policy","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Standard Property Policy","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
"CW","Standard Property Policy","Property of Others","No","No","No"
"CW","Standard Property Policy","Property of Others","Yes","No","No"
"CW","Standard Property Policy","Property of Others","Yes","Yes","Yes"
"CW","Standard Property Policy","Property Other than Categories Listed Above","No","No","No"
"CW","Standard Property Policy","Property Other than Categories Listed Above","Yes","No","No"
"CW","Standard Property Policy","Property Other than Categories Listed Above","Yes","Yes","Yes"
"CW","Standard Property Policy","Stock","No","No","No"
"CW","Standard Property Policy","Stock","Yes","No","No"
"CW","Standard Property Policy","Stock","Yes","Yes","Yes"
"CW","Standard Property Policy","Tenants Improvements and Betterments","No","No","No"
"CW","Standard Property Policy","Tenants Improvements and Betterments","Yes","No","No"
"CW","Standard Property Policy","Tenants Improvements and Betterments","Yes","Yes","Yes"
"CW","Standard Property Policy","Valuable Papers and Records - Other Than Electronic Data","No","No","No"
"CW","Standard Property Policy","Valuable Papers and Records - Other Than Electronic Data","Yes","No","No"
"CW","Tobacco Sales Warehouse Coverage Form","All Personal Property","No","No","No"
"CW","Tobacco Sales Warehouse Coverage Form","All Personal Property","Yes","No","No"
"CW","Tobacco Sales Warehouse Coverage Form","Personal Property in a Vault with an Approved Fire Rating","No","No","No"
"CW","Tobacco Sales Warehouse Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","No","No"
"CW","Tobacco Sales Warehouse Coverage Form","Personal Property in a Vault with an Approved Fire Rating","Yes","Yes","Yes"
