"StateCode","CovFormBusnIncome","EQCauseOfLossForm","EQSubLimitBlktIndicator","BlktRated","DisplayValue","DataValue"
"CW","Business Income With Extra Expense","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Business Income With Extra Expense","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Business Income Without Extra Expense","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Business Income Without Extra Expense","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Extra Expense Only","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Extra Expense Only","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Extra Expense Only","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Not Applicable","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Not Applicable","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Not Applicable","Not Applicable","No","Yes","No Coverage","No Coverage"
