"StateCode","CauseOfLossBusnIncome","TypeOfRisk","EQCovIndicatorBusnIncome","AgreedValueBusnIncome","ExtendedPeriodApplies","DisplayValue","DataValue"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","90%","90%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","100%","100%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","No","125%","125%"
"CW","Basic","Mining","No Coverage","No","No","50%","50%"
"CW","Basic","Mining","No Coverage","No","No","60%","60%"
"CW","Basic","Mining","No Coverage","No","No","70%","70%"
"CW","Basic","Mining","No Coverage","No","No","80%","80%"
"CW","Basic","Mining","No Coverage","No","No","90%","90%"
"CW","Basic","Mining","No Coverage","No","No","100%","100%"
"CW","Basic","Mining","No Coverage","No","No","125%","125%"
"CW","Basic","Mining","No Coverage","Yes","No","50%","50%"
"CW","Basic","Mining","No Coverage","Yes","No","60%","60%"
"CW","Basic","Mining","No Coverage","Yes","No","70%","70%"
"CW","Basic","Mining","No Coverage","Yes","No","80%","80%"
"CW","Basic","Mining","No Coverage","Yes","No","90%","90%"
"CW","Basic","Mining","No Coverage","Yes","No","100%","100%"
"CW","Basic","Mining","No Coverage","Yes","No","125%","125%"
"CW","Basic","Not Applicable","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Rental Properties","No Coverage","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Rental Properties","No Coverage","No","No","50%","50%"
"CW","Basic","Rental Properties","No Coverage","No","No","60%","60%"
"CW","Basic","Rental Properties","No Coverage","No","No","70%","70%"
"CW","Basic","Rental Properties","No Coverage","No","No","80%","80%"
"CW","Basic","Rental Properties","No Coverage","No","No","90%","90%"
"CW","Basic","Rental Properties","No Coverage","No","No","100%","100%"
"CW","Basic","Rental Properties","No Coverage","No","No","125%","125%"
"CW","Basic","Rental Properties","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Rental Properties","No Coverage","Yes","No","50%","50%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","60%","60%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","70%","70%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","80%","80%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","90%","90%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","100%","100%"
"CW","Basic","Rental Properties","No Coverage","Yes","No","125%","125%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","No","No","100%","100%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","Not Applicable","No","100%","100%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","Yes","No","100%","100%"
"CW","Blanket Cause of Loss Applies","Combined Educational Institutes and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Manufacturing and Mercantile Operations","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Manufacturing and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Mercantile and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Educational Institutions","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Manufacturing","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Mercantile and Non-manufacturing","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Mining","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Rental Properties","No Coverage","Blanket Agreed Value Option Applies","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","50%","50%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","60%","60%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","70%","70%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","80%","80%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","90%","90%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","100%","100%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","125%","125%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","50%","50%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","60%","60%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","70%","70%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","80%","80%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","90%","90%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","100%","100%"
"CW","Broad","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","125%","125%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Broad","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Broad","Combined Mercantile and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Broad","Educational Institutions","No Coverage","No","No","50%","50%"
"CW","Broad","Educational Institutions","No Coverage","No","No","60%","60%"
"CW","Broad","Educational Institutions","No Coverage","No","No","70%","70%"
"CW","Broad","Educational Institutions","No Coverage","No","No","80%","80%"
"CW","Broad","Educational Institutions","No Coverage","No","No","90%","90%"
"CW","Broad","Educational Institutions","No Coverage","No","No","100%","100%"
"CW","Broad","Educational Institutions","No Coverage","No","No","125%","125%"
"CW","Broad","Educational Institutions","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","50%","50%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","60%","60%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","70%","70%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","80%","80%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","90%","90%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","100%","100%"
"CW","Broad","Educational Institutions","No Coverage","Yes","No","125%","125%"
"CW","Broad","Manufacturing","No Coverage","No","No","50%","50%"
"CW","Broad","Manufacturing","No Coverage","No","No","60%","60%"
"CW","Broad","Manufacturing","No Coverage","No","No","70%","70%"
"CW","Broad","Manufacturing","No Coverage","No","No","80%","80%"
"CW","Broad","Manufacturing","No Coverage","No","No","90%","90%"
"CW","Broad","Manufacturing","No Coverage","No","No","100%","100%"
"CW","Broad","Manufacturing","No Coverage","No","No","125%","125%"
"CW","Broad","Manufacturing","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Manufacturing","No Coverage","Yes","No","50%","50%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","60%","60%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","70%","70%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","80%","80%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","90%","90%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","100%","100%"
"CW","Broad","Manufacturing","No Coverage","Yes","No","125%","125%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","50%","50%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","60%","60%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","70%","70%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","80%","80%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","90%","90%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","100%","100%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","No","No","125%","125%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","50%","50%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","60%","60%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","70%","70%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","80%","80%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","90%","90%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","100%","100%"
"CW","Broad","Mercantile and Non-manufacturing","No Coverage","Yes","No","125%","125%"
"CW","Broad","Mining","No Coverage","No","No","50%","50%"
"CW","Broad","Mining","No Coverage","No","No","60%","60%"
"CW","Broad","Mining","No Coverage","No","No","70%","70%"
"CW","Broad","Mining","No Coverage","No","No","80%","80%"
"CW","Broad","Mining","No Coverage","No","No","90%","90%"
"CW","Broad","Mining","No Coverage","No","No","100%","100%"
"CW","Broad","Mining","No Coverage","No","No","125%","125%"
"CW","Broad","Mining","No Coverage","Yes","No","50%","50%"
"CW","Broad","Mining","No Coverage","Yes","No","60%","60%"
"CW","Broad","Mining","No Coverage","Yes","No","70%","70%"
"CW","Broad","Mining","No Coverage","Yes","No","80%","80%"
"CW","Broad","Mining","No Coverage","Yes","No","90%","90%"
"CW","Broad","Mining","No Coverage","Yes","No","100%","100%"
"CW","Broad","Mining","No Coverage","Yes","No","125%","125%"
"CW","Broad","Not Applicable","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Broad","Rental Properties","No Coverage","No","No","50%","50%"
"CW","Broad","Rental Properties","No Coverage","No","No","60%","60%"
"CW","Broad","Rental Properties","No Coverage","No","No","70%","70%"
"CW","Broad","Rental Properties","No Coverage","No","No","80%","80%"
"CW","Broad","Rental Properties","No Coverage","No","No","90%","90%"
"CW","Broad","Rental Properties","No Coverage","No","No","100%","100%"
"CW","Broad","Rental Properties","No Coverage","No","No","125%","125%"
"CW","Broad","Rental Properties","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Rental Properties","No Coverage","Yes","No","50%","50%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","60%","60%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","70%","70%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","80%","80%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","90%","90%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","100%","100%"
"CW","Broad","Rental Properties","No Coverage","Yes","No","125%","125%"
"CW","Broad","Seasonal Leases with Monthly Limit","No Coverage","No","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","No Coverage","Not Applicable","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","No Coverage","Yes","No","100%","100%"
"CW","Not Applicable","Not Applicable","No Coverage","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","No Coverage","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Rental Operations","No Coverage","Yes","No","50%","50%"
