"StateCode","CovTypeBldg","EQCauseOfLossForm","EQSubLimitBlktIndicator","BlktRated","DisplayValue","DataValue"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Builders Risk","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Builders Risk","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Builders Risk","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Builders Risk","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Builders Risk","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Building","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Building","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Building","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Building","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Building","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Condominium Association","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Condominium Association","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Condominium Association","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Condominium Association","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","No","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Included in Blanket","Yes, Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Improvements and Betterments","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Improvements and Betterments","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Improvements and Betterments","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Leasehold Interest","Not Applicable","Yes","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Leasehold Interest","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Leasehold Interest","Not Applicable","No","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 40)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 40)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 40)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 40)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 40)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 40)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 40)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 40)","No","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 28)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 28)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 28)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 28)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 28)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 28)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Form (CP 10 28)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Form (CP 10 28)","No","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 45)","No","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","No","No","Yes, Not Included in Blanket","Yes, Not Included in Blanket"
"CW","Legal Liability","Earthquake Sub-Limit Form (CP 10 29)","No","No","No Coverage","No Coverage"
"CW","Legal Liability","Not Applicable","Yes","Yes","No Coverage","No Coverage"
