"StateCode","MaxPeriod","TypeOfRisk","IncludedInBlktBusnIncome","EQCovIndicatorBusnIncome","DisplayValue","DataValue"
"CW","Not Applicable","Combined Manufacturing and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Mercantile and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Mercantile and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","No","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Educational Institutions","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Mercantile and Non-manufacturing","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Mercantile and Non-manufacturing","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","No","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Mining","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","No","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Rental Properties","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Rental Properties","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","No","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Not Applicable","Seasonal Leases with Monthly Limit","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Mercantile Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Educational Institutes and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Mercantile and Rental Operations","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Manufacturing","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Manufacturing","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Manufacturing","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Manufacturing","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Mercantile and Non-manufacturing","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Rental Properties","No","No Coverage","Not Applicable","Not Applicable"
"CW","Yes","Rental Properties","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Rental Properties","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Yes","Rental Properties","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","No","Combined Manufacturing and Mercantile Operations","No","No Coverage","1/3","1/3"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Educational Institutes and Rental Operations","No","No Coverage","1/3","1/3"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Rental Operations","No","No Coverage","1/3","1/3"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Mercantile and Rental Operations","No","No Coverage","1/3","1/3"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Manufacturing","No","No Coverage","1/3","1/3"
"CW","No","Manufacturing","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Manufacturing","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Manufacturing","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Mercantile and Non-manufacturing","No","No Coverage","1/3","1/3"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Rental Properties","No","No Coverage","1/3","1/3"
"CW","No","Rental Properties","No","Yes, Included in Blanket","1/3","1/3"
"CW","No","Rental Properties","No","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Rental Properties","Yes","Yes, Not Included in Blanket","1/3","1/3"
"CW","No","Combined Manufacturing and Mercantile Operations","No","No Coverage","1/4","1/4"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Educational Institutes and Rental Operations","No","No Coverage","1/4","1/4"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Rental Operations","No","No Coverage","1/4","1/4"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Mercantile and Rental Operations","No","No Coverage","1/4","1/4"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Manufacturing","No","No Coverage","1/4","1/4"
"CW","No","Manufacturing","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Manufacturing","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Manufacturing","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Mercantile and Non-manufacturing","No","No Coverage","1/4","1/4"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Rental Properties","No","No Coverage","1/4","1/4"
"CW","No","Rental Properties","No","Yes, Included in Blanket","1/4","1/4"
"CW","No","Rental Properties","No","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Rental Properties","Yes","Yes, Not Included in Blanket","1/4","1/4"
"CW","No","Combined Manufacturing and Mercantile Operations","No","No Coverage","1/6","1/6"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Combined Manufacturing and Mercantile Operations","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Manufacturing and Mercantile Operations","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Educational Institutes and Rental Operations","No","No Coverage","1/6","1/6"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Combined Educational Institutes and Rental Operations","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Educational Institutes and Rental Operations","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Manufacturing and Rental Operations","No","No Coverage","1/6","1/6"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Combined Manufacturing and Rental Operations","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Manufacturing and Rental Operations","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Mercantile and Rental Operations","No","No Coverage","1/6","1/6"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Combined Mercantile and Rental Operations","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Combined Mercantile and Rental Operations","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Manufacturing","No","No Coverage","1/6","1/6"
"CW","No","Manufacturing","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Manufacturing","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Manufacturing","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Mercantile and Non-manufacturing","No","No Coverage","1/6","1/6"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Mercantile and Non-manufacturing","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Mercantile and Non-manufacturing","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Rental Properties","No","No Coverage","1/6","1/6"
"CW","No","Rental Properties","No","Yes, Included in Blanket","1/6","1/6"
"CW","No","Rental Properties","No","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Rental Properties","Yes","Yes, Not Included in Blanket","1/6","1/6"
"CW","No","Not Applicable","No","No Coverage","Not Applicable","Not Applicable"
