"StateCode","PolicyType","CovTypeBldg","IncludedInBlktBldg","EQCovIndicatorBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Condominium Association","No","No Coverage","28%","28%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Condominium Association","No","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Condominium Association","Yes","No Coverage","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Included in Blanket","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","2%","2%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","4%","4%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","6%","6%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","8%","8%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","10%","10%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","12%","12%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","14%","14%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","16%","16%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","18%","18%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","20%","20%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","22%","22%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","24%","24%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","26%","26%"
"CW","Commercial Property Policy","Improvements and Betterments","No","No Coverage","28%","28%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","No Coverage","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Included in Blanket","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","2%","2%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","4%","4%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","6%","6%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","8%","8%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","10%","10%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","12%","12%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","14%","14%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","16%","16%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","18%","18%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","20%","20%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","22%","22%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","24%","24%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","26%","26%"
"CW","Commercial Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","28%","28%"
"CW","Commercial Property Policy","Leasehold Interest","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Yes","No Coverage","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Leasehold Interest","Yes","Yes, Included in Blanket","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Leasehold Interest","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","No","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Yes","No Coverage","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Legal Liability","Yes","Yes, Included in Blanket","Blanket Inflation Guard Value Applies","Blanket Inflation Guard Value Applies"
"CW","Commercial Property Policy","Legal Liability","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Not Applicable","No Coverage","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","No","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","No","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","No","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Condominium Association","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","No","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Improvements and Betterments","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","No","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","No","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","No","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","Not Applicable","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","Yes","No Coverage","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","Yes","Yes, Included in Blanket","Not Applicable","Not Applicable"
"CW","Standard Property Policy","No Coverage","Yes","Yes, Not Included in Blanket","Not Applicable","Not Applicable"
