"StateCode","Coinsurance","EQCovIndicator","EQCauseOfLossForm","DisplayValue","DataValue"
"CW","None","Yes, Included in Blanket","Earthquake Form (CP 10 40)","None","None"
"CW","Blanket Coinsurance Percentage Applies","Yes, Included in Blanket","Earthquake Form (CP 10 40)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Not Applicable","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Not Applicable","Not Applicable"
"CW","50%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","50%","50%"
"CW","60%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","60%","60%"
"CW","70%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","70%","70%"
"CW","80%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","80%","80%"
"CW","90%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","90%","90%"
"CW","100%","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","100%","100%"
"CW","Daily Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Daily Reporting","Daily Reporting"
"CW","Weekly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Weekly Reporting","Weekly Reporting"
"CW","Monthly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Monthly Reporting","Monthly Reporting"
"CW","Quarterly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Quarterly Reporting","Quarterly Reporting"
"CW","Policy Year Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","Policy Year Reporting","Policy Year Reporting"
"CW","None","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","None","None"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","50%","50%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","60%","60%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","70%","70%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","80%","80%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","90%","90%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","100%","100%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 40)","None","None"
"CW","Not Applicable","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","50%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","60%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","70%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","80%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","90%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","100%","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Daily Reporting","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","None","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","No Coverage","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","50%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","60%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","70%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","80%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","90%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","100%","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","None","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Not Applicable","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","50%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","60%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","70%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","80%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","90%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","100%","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Daily Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Weekly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Monthly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Quarterly Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Policy Year Reporting","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","None","Yes, Included in Blanket","Earthquake Form (CP 10 28)","None","None"
"CW","Blanket Coinsurance Percentage Applies","Yes, Included in Blanket","Earthquake Form (CP 10 28)","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Not Applicable","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Not Applicable","Not Applicable"
"CW","50%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","50%","50%"
"CW","60%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","60%","60%"
"CW","70%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","70%","70%"
"CW","80%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","80%","80%"
"CW","90%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","90%","90%"
"CW","100%","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","100%","100%"
"CW","Daily Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Daily Reporting","Daily Reporting"
"CW","Weekly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Weekly Reporting","Weekly Reporting"
"CW","Monthly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Monthly Reporting","Monthly Reporting"
"CW","Quarterly Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Quarterly Reporting","Quarterly Reporting"
"CW","Policy Year Reporting","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","Policy Year Reporting","Policy Year Reporting"
"CW","None","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","None","None"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","50%","50%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","60%","60%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","70%","70%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","80%","80%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","90%","90%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","100%","100%"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Form (CP 10 28)","None","None"
"CW","Not Applicable","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","50%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","60%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","70%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","80%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","90%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","100%","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Daily Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","None","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","50%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","60%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","70%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","80%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","90%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","100%","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","None","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Not Applicable","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","50%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","60%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","70%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","80%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","90%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","100%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","None","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","50%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","60%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","70%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","80%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","90%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","100%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","None","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 45)","Not Applicable","Not Applicable"
"CW","Not Applicable","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","50%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","60%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","70%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","80%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","90%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","100%","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Daily Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","None","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Not Applicable","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","50%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","60%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","70%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","80%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","90%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","100%","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","None","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Not Applicable","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","50%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","60%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","70%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","80%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","90%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","100%","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","None","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Blanket Coinsurance Percentage Applies","Yes, Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Not Applicable","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","50%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","60%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","70%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","80%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","90%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","100%","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Daily Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Weekly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Monthly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Quarterly Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","Policy Year Reporting","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
"CW","None","Yes, Not Included in Blanket","Earthquake Sub-Limit Form (CP 10 29)","Not Applicable","Not Applicable"
